filename	token	col1	col2	col3	col4	col5	col6	col7	col8	gold_label	predictions
2019_ABu_42_2.ann	help									c	c
2019_ABu_42_2.ann	them									c	c
2019_ABu_42_2.ann	.									c	c

2019_ABu_193_1.ann	As									c	c
2019_ABu_193_1.ann	for									c	c
2019_ABu_193_1.ann	Australia									c	c
2019_ABu_193_1.ann	,									c	c
2019_ABu_193_1.ann	the									c	c
2019_ABu_193_1.ann	greatest									c	c
2019_ABu_193_1.ann	number									c	c
2019_ABu_193_1.ann	of									c	c
2019_ABu_193_1.ann	employees									c	c
2019_ABu_193_1.ann	of									c	c
2019_ABu_193_1.ann	both									c	c
2019_ABu_193_1.ann	genders									c	c
2019_ABu_193_1.ann	work									c	c
2019_ABu_193_1.ann	in									c	c
2019_ABu_193_1.ann	the									c	c
2019_ABu_193_1.ann	Services									c	i
2019_ABu_193_1.ann	sector									c	c
2019_ABu_193_1.ann	as									c	c
2019_ABu_193_1.ann	well									c	c
2019_ABu_193_1.ann	.									c	c

2019_ABu_53_1.ann	In									c	c
2019_ABu_53_1.ann	addition									c	c
2019_ABu_53_1.ann	,									c	c
2019_ABu_53_1.ann	in									c	c
2019_ABu_53_1.ann	2000									c	c
2019_ABu_53_1.ann	the									c	c
2019_ABu_53_1.ann	percentage									c	c
2019_ABu_53_1.ann	was									c	c
2019_ABu_53_1.ann	slightly									c	c
2019_ABu_53_1.ann	lower	Punctuation	lower:							i	c
2019_ABu_53_1.ann	20	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					c	c
2019_ABu_53_1.ann	%	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					i	c
2019_ABu_53_1.ann	and	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					i	c
2019_ABu_53_1.ann	21	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					i	c
2019_ABu_53_1.ann	%	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					i	c
2019_ABu_53_1.ann	.									c	c

2019_ABu_82_2.ann	Our									c	c
2019_ABu_82_2.ann	world									c	c
2019_ABu_82_2.ann	is									c	c
2019_ABu_82_2.ann	developing									c	c
2019_ABu_82_2.ann	,									c	c
2019_ABu_82_2.ann	the									c	c
2019_ABu_82_2.ann	cities									c	c
2019_ABu_82_2.ann	are									c	c
2019_ABu_82_2.ann	extending	lex_item_choice	expanding							i	c
2019_ABu_82_2.ann	,									c	c
2019_ABu_82_2.ann	people									c	c
2019_ABu_82_2.ann	are									c	c
2019_ABu_82_2.ann	constructing									c	c
2019_ABu_82_2.ann	more									c	c
2019_ABu_82_2.ann	and									c	c
2019_ABu_82_2.ann	more									c	c
2019_ABu_82_2.ann	new									c	c
2019_ABu_82_2.ann	buildings									c	c
2019_ABu_82_2.ann	because									c	c
2019_ABu_82_2.ann	it									c	c
2019_ABu_82_2.ann	's									c	c
2019_ABu_82_2.ann	really									c	c
2019_ABu_82_2.ann	important									c	c
2019_ABu_82_2.ann	now									c	c
2019_ABu_82_2.ann	,									c	i
2019_ABu_82_2.ann	our									c	c
2019_ABu_82_2.ann	population									c	c
2019_ABu_82_2.ann	is									c	c
2019_ABu_82_2.ann	rising									c	c
2019_ABu_82_2.ann	every									c	c
2019_ABu_82_2.ann	year									c	c
2019_ABu_82_2.ann	and	Punctuation	, and							i	c
2019_ABu_82_2.ann	because									c	c
2019_ABu_82_2.ann	of									c	c
2019_ABu_82_2.ann	this									c	c
2019_ABu_82_2.ann	people									c	c
2019_ABu_82_2.ann	need									c	c
2019_ABu_82_2.ann	more									c	c
2019_ABu_82_2.ann	places									c	c
2019_ABu_82_2.ann	to									c	c
2019_ABu_82_2.ann	live									c	c
2019_ABu_82_2.ann	,									c	c
2019_ABu_82_2.ann	work									c	c
2019_ABu_82_2.ann	,									c	c
2019_ABu_82_2.ann	learn									c	c
2019_ABu_82_2.ann	and									c	c
2019_ABu_82_2.ann	relax									c	c
2019_ABu_82_2.ann	.									c	c

2019_ABu_162_2.ann	I									c	c
2019_ABu_162_2.ann	am									c	c
2019_ABu_162_2.ann	convinced									c	c
2019_ABu_162_2.ann	that									c	c
2019_ABu_162_2.ann	having									c	c
2019_ABu_162_2.ann	a									c	c
2019_ABu_162_2.ann	lot									c	c
2019_ABu_162_2.ann	of									c	c
2019_ABu_162_2.ann	free									c	c
2019_ABu_162_2.ann	time									c	c
2019_ABu_162_2.ann	is									c	c
2019_ABu_162_2.ann	more									c	c
2019_ABu_162_2.ann	important									c	c
2019_ABu_162_2.ann	than									c	c
2019_ABu_162_2.ann	money									c	c
2019_ABu_162_2.ann	because									c	c
2019_ABu_162_2.ann	having									c	c
2019_ABu_162_2.ann	great									c	c
2019_ABu_162_2.ann	and									c	c
2019_ABu_162_2.ann	loving									c	c
2019_ABu_162_2.ann	relationships									c	c
2019_ABu_162_2.ann	with									c	c
2019_ABu_162_2.ann	your									c	c
2019_ABu_162_2.ann	relatives									c	c
2019_ABu_162_2.ann	and									c	c
2019_ABu_162_2.ann	friends									c	c
2019_ABu_162_2.ann	is									c	c
2019_ABu_162_2.ann	priseless	Spelling	priceless							i	i
2019_ABu_162_2.ann	.									c	c

2019_ABu_54_1.ann	Started	Voice	Starting							i	c
2019_ABu_54_1.ann	from	Capitalisation	From 2000 to 2005,	Punctuation	From 2000 to 2005,					c	c
2019_ABu_54_1.ann	2000	Capitalisation	From 2000 to 2005,	Punctuation	From 2000 to 2005,					i	c
2019_ABu_54_1.ann	to	Capitalisation	From 2000 to 2005,	Punctuation	From 2000 to 2005,					c	c
2019_ABu_54_1.ann	2005	Capitalisation	From 2000 to 2005,	Punctuation	From 2000 to 2005,					c	c
2019_ABu_54_1.ann	the									i	c
2019_ABu_54_1.ann	numbers	Noun_number	number							i	c
2019_ABu_54_1.ann	of									c	c
2019_ABu_54_1.ann	people									c	c
2019_ABu_54_1.ann	with									c	c
2019_ABu_54_1.ann	overweight	lex_item_choice	excess weight							i	c
2019_ABu_54_1.ann	problems	lex_item_choice	excess weight							i	c
2019_ABu_54_1.ann	signhificantly	Spelling	significantly							i	i
2019_ABu_54_1.ann	raised	lex_item_choice	rised							c	i
2019_ABu_54_1.ann	in	Redundant_comp								c	c
2019_ABu_54_1.ann	that	Redundant_comp								c	c
2019_ABu_54_1.ann	case	Redundant_comp								c	c
2019_ABu_54_1.ann	.									c	c

2019_ABu_195_2.ann	Unfortunately									c	c
2019_ABu_195_2.ann	,									c	c
2019_ABu_195_2.ann	it									c	c
2019_ABu_195_2.ann	requires									c	c
2019_ABu_195_2.ann	a									c	c
2019_ABu_195_2.ann	lot									c	c
2019_ABu_195_2.ann	of									c	c
2019_ABu_195_2.ann	time									c	c
2019_ABu_195_2.ann	to									c	c
2019_ABu_195_2.ann	achieve									c	c
2019_ABu_195_2.ann	success									c	c
2019_ABu_195_2.ann	in									c	c
2019_ABu_195_2.ann	a									c	c
2019_ABu_195_2.ann	carrer	Spelling	career							i	i
2019_ABu_195_2.ann	and									c	c
2019_ABu_195_2.ann	to									c	c
2019_ABu_195_2.ann	get									c	c
2019_ABu_195_2.ann	a									c	c
2019_ABu_195_2.ann	pleasure									c	c
2019_ABu_195_2.ann	in									c	c
2019_ABu_195_2.ann	one									c	c
2019_ABu_195_2.ann	's									c	c
2019_ABu_195_2.ann	free									c	c
2019_ABu_195_2.ann	time									c	c
2019_ABu_195_2.ann	,									c	c
2019_ABu_195_2.ann	in									c	c
2019_ABu_195_2.ann	other									c	c
2019_ABu_195_2.ann	words									c	c
2019_ABu_195_2.ann	,									c	c
2019_ABu_195_2.ann	to									c	c
2019_ABu_195_2.ann	relax									c	c
2019_ABu_195_2.ann	from									c	i
2019_ABu_195_2.ann	everyone									c	c
2019_ABu_195_2.ann	.									c	c

2019_ABu_195_2.ann	It									c	c
2019_ABu_195_2.ann	sounds									c	c
2019_ABu_195_2.ann	weird	Punctuation	weird,							i	c
2019_ABu_195_2.ann	but									c	c
2019_ABu_195_2.ann	i	Capitalisation	I							i	i
2019_ABu_195_2.ann	am									c	c
2019_ABu_195_2.ann	sure									c	c
2019_ABu_195_2.ann	that									c	c
2019_ABu_195_2.ann	such									c	c
2019_ABu_195_2.ann	people									c	c
2019_ABu_195_2.ann	's									c	c
2019_ABu_195_2.ann	labour									c	c
2019_ABu_195_2.ann	does									c	c
2019_ABu_195_2.ann	not									c	c
2019_ABu_195_2.ann	depend									c	c
2019_ABu_195_2.ann	on									c	c
2019_ABu_195_2.ann	their									c	c
2019_ABu_195_2.ann	salaries									c	c
2019_ABu_195_2.ann	as									c	c
2019_ABu_195_2.ann	their									c	c
2019_ABu_195_2.ann	primary									c	c
2019_ABu_195_2.ann	principle									c	c
2019_ABu_195_2.ann	is									c	c
2019_ABu_195_2.ann	to									c	c
2019_ABu_195_2.ann	continue									c	c
2019_ABu_195_2.ann	to									c	c
2019_ABu_195_2.ann	make									c	c
2019_ABu_195_2.ann	the									c	c
2019_ABu_195_2.ann	world									c	c
2019_ABu_195_2.ann	better									c	c
2019_ABu_195_2.ann	.									c	c

2019_ABu_223_2.ann	They									c	c
2019_ABu_223_2.ann	lern	Spelling	teach	lex_item_choice	teach					i	i
2019_ABu_223_2.ann	him	Inappropriate_register	him or her							c	c
2019_ABu_223_2.ann	how									c	c
2019_ABu_223_2.ann	to									c	c
2019_ABu_223_2.ann	talk									c	c
2019_ABu_223_2.ann	,									c	c
2019_ABu_223_2.ann	to									c	c
2019_ABu_223_2.ann	eat									c	c
2019_ABu_223_2.ann	and									c	c
2019_ABu_223_2.ann	walk	Lack_par_constr	to walk							i	c
2019_ABu_223_2.ann	.									c	c

2019_ABu_223_2.ann	There									c	c
2019_ABu_223_2.ann	child	Articles	a child							i	i
2019_ABu_223_2.ann	firsty	Spelling	firstly	lex_item_choice	for the first time	Word_order	faces real life, first love, and other different things for the first time			c	i
2019_ABu_223_2.ann	fased	Word_order	faces real life, first love, and other different things for the first time	Spelling	faces					i	i
2019_ABu_223_2.ann	real	Word_order	faces real life, first love, and other different things for the first time							i	c
2019_ABu_223_2.ann	life	Word_order	faces real life, first love, and other different things for the first time							i	c
2019_ABu_223_2.ann	,	Word_order	faces real life, first love, and other different things for the first time							i	c
2019_ABu_223_2.ann	first	Word_order	faces real life, first love, and other different things for the first time							i	c
2019_ABu_223_2.ann	love	Word_order	faces real life, first love, and other different things for the first time	Punctuation	love,					i	c
2019_ABu_223_2.ann	and	Word_order	faces real life, first love, and other different things for the first time							i	c
2019_ABu_223_2.ann	other	Word_order	faces real life, first love, and other different things for the first time							i	c
2019_ABu_223_2.ann	different	Word_order	faces real life, first love, and other different things for the first time							i	c
2019_ABu_223_2.ann	things	Word_order	faces real life, first love, and other different things for the first time							i	c
2019_ABu_223_2.ann	.									c	c

2019_ABu_223_2.ann	Because									c	c
2019_ABu_223_2.ann	they									c	c
2019_ABu_223_2.ann	teachs	Spelling	teach	Agreement_errors	teach					i	i
2019_ABu_223_2.ann	the	Articles	a child							c	c
2019_ABu_223_2.ann	cild	Articles	a child	Spelling	child					i	i
2019_ABu_223_2.ann	from	Prepositions	in							c	c
2019_ABu_223_2.ann	different									c	c
2019_ABu_223_2.ann	sides	lex_item_choice	ways							i	c
2019_ABu_223_2.ann	.									c	c

2019_ABu_169_2.ann	Although	lex_item_choice	However							i	c
2019_ABu_169_2.ann	,									c	c
2019_ABu_169_2.ann	there									c	c
2019_ABu_169_2.ann	is									c	c
2019_ABu_169_2.ann	one									c	c
2019_ABu_169_2.ann	less									c	c
2019_ABu_169_2.ann	positive									c	c
2019_ABu_169_2.ann	reason									c	c
2019_ABu_169_2.ann	for									c	c
2019_ABu_169_2.ann	people									c	c
2019_ABu_169_2.ann	to									c	c
2019_ABu_169_2.ann	spend									c	c
2019_ABu_169_2.ann	more									c	c
2019_ABu_169_2.ann	time									c	c
2019_ABu_169_2.ann	in									c	c
2019_ABu_169_2.ann	their									c	c
2019_ABu_169_2.ann	office									c	c
2019_ABu_169_2.ann	.									c	c

2019_ABu_60_1.ann	The									c	c
2019_ABu_60_1.ann	table									c	c
2019_ABu_60_1.ann	,									c	c
2019_ABu_60_1.ann	likewise									c	c
2019_ABu_60_1.ann	,									c	c
2019_ABu_60_1.ann	illustrates									c	c
2019_ABu_60_1.ann	the									c	c
2019_ABu_60_1.ann	same									c	c
2019_ABu_60_1.ann	situation									c	c
2019_ABu_60_1.ann	of									c	c
2019_ABu_60_1.ann	increasing	Category_confusion	increase							i	i
2019_ABu_60_1.ann	.									c	c

2019_EEr_157_1.ann	The	Word_order	China has the absolute maximum percentage of energy							i	c
2019_EEr_157_1.ann	absolute	Word_order	China has the absolute maximum percentage of energy							i	c
2019_EEr_157_1.ann	maximume	Spelling	maximum	Word_order	China has the absolute maximum percentage of energy					i	i
2019_EEr_157_1.ann	in	Word_order	China has the absolute maximum percentage of energy							i	c
2019_EEr_157_1.ann	the	Word_order	China has the absolute maximum percentage of energy							i	c
2019_EEr_157_1.ann	energy	Word_order	China has the absolute maximum percentage of energy							i	c
2019_EEr_157_1.ann	percentage	Word_order	China has the absolute maximum percentage of energy							i	c
2019_EEr_157_1.ann	has	Word_order	China has the absolute maximum percentage of energy							i	i
2019_EEr_157_1.ann	China	Word_order	China has the absolute maximum percentage of energy							c	i
2019_EEr_157_1.ann	that	lex_item_choice	and							i	c
2019_EEr_157_1.ann	increased									c	c
2019_EEr_157_1.ann	the									c	c
2019_EEr_157_1.ann	amount									c	c
2019_EEr_157_1.ann	of									c	c
2019_EEr_157_1.ann	fuels									c	i
2019_EEr_157_1.ann	from									c	c
2019_EEr_157_1.ann	60									c	c
2019_EEr_157_1.ann	%									c	c
2019_EEr_157_1.ann	to									c	c
2019_EEr_157_1.ann	approximately									c	c
2019_EEr_157_1.ann	87									c	c
2019_EEr_157_1.ann	%									c	c
2019_EEr_157_1.ann	over									c	c
2019_EEr_157_1.ann	45									c	c
2019_EEr_157_1.ann	years									c	c
2019_EEr_157_1.ann	.									c	c

2019_ABu_154_1.ann	However									c	c
2019_ABu_154_1.ann	,									c	c
2019_ABu_154_1.ann	in									c	c
2019_ABu_154_1.ann	Australia									c	c
2019_ABu_154_1.ann	the									c	c
2019_ABu_154_1.ann	number									c	c
2019_ABu_154_1.ann	of									c	c
2019_ABu_154_1.ann	women									c	c
2019_ABu_154_1.ann	outweigh	Tense_choice	outweighed							i	c
2019_ABu_154_1.ann	that									c	c
2019_ABu_154_1.ann	of									c	c
2019_ABu_154_1.ann	men									c	c
2019_ABu_154_1.ann	by									c	c
2019_ABu_154_1.ann	23									c	c
2019_ABu_154_1.ann	%									c	c
2019_ABu_154_1.ann	and									c	c
2019_ABu_154_1.ann	reaches	Tense_choice	reached							i	c
2019_ABu_154_1.ann	88									c	c
2019_ABu_154_1.ann	%									c	c
2019_ABu_154_1.ann	,									c	c
2019_ABu_154_1.ann	while									c	c
2019_ABu_154_1.ann	in									c	c
2019_ABu_154_1.ann	Indonesia									c	c
2019_ABu_154_1.ann	male	Noun_number	males							i	i
2019_ABu_154_1.ann	constitute	Tense_choice	constituted							c	c
2019_ABu_154_1.ann	7									c	c
2019_ABu_154_1.ann	%									c	c
2019_ABu_154_1.ann	more									c	i
2019_ABu_154_1.ann	than									c	c
2019_ABu_154_1.ann	female	Noun_number	females							i	i
2019_ABu_154_1.ann	and									c	c
2019_ABu_154_1.ann	make	Tense_choice	made up							i	c
2019_ABu_154_1.ann	up	Tense_choice	made up							c	c
2019_ABu_154_1.ann	56									c	c
2019_ABu_154_1.ann	%									c	c
2019_ABu_154_1.ann	of									c	c
2019_ABu_154_1.ann	the									c	c
2019_ABu_154_1.ann	services	Noun_number	service							i	c
2019_ABu_154_1.ann	sector									c	c
2019_ABu_154_1.ann	.									c	c

2019_EEr_145_2.ann	The									c	c
2019_EEr_145_2.ann	most									c	c
2019_EEr_145_2.ann	utopian									c	c
2019_EEr_145_2.ann	and									c	c
2019_EEr_145_2.ann	gigantic									c	c
2019_EEr_145_2.ann	of									c	c
2019_EEr_145_2.ann	them									c	c
2019_EEr_145_2.ann	was									c	c
2019_EEr_145_2.ann	the									c	c
2019_EEr_145_2.ann	Palace									c	c
2019_EEr_145_2.ann	of									c	c
2019_EEr_145_2.ann	the									c	c
2019_EEr_145_2.ann	Soviets									c	c
2019_EEr_145_2.ann	.									c	c

2019_ABu_90_2.ann	It									c	c
2019_ABu_90_2.ann	is									c	c
2019_ABu_90_2.ann	claimed									c	c
2019_ABu_90_2.ann	that									c	c
2019_ABu_90_2.ann	the									c	c
2019_ABu_90_2.ann	beauty									c	c
2019_ABu_90_2.ann	of									c	c
2019_ABu_90_2.ann	the	Articles	a building							i	c
2019_ABu_90_2.ann	building	Articles	a building							c	c
2019_ABu_90_2.ann	is									c	c
2019_ABu_90_2.ann	not									c	c
2019_ABu_90_2.ann	as									c	c
2019_ABu_90_2.ann	important									c	c
2019_ABu_90_2.ann	as									c	c
2019_ABu_90_2.ann	its									c	c
2019_ABu_90_2.ann	purpose									c	c
2019_ABu_90_2.ann	and									c	c
2019_ABu_90_2.ann	there									c	c
2019_ABu_90_2.ann	is									c	c
2019_ABu_90_2.ann	no									c	c
2019_ABu_90_2.ann	need									c	c
2019_ABu_90_2.ann	for									c	c
2019_ABu_90_2.ann	architects									c	c
2019_ABu_90_2.ann	to									c	c
2019_ABu_90_2.ann	worry									c	c
2019_ABu_90_2.ann	about									c	c
2019_ABu_90_2.ann	the									c	c
2019_ABu_90_2.ann	physical	lex_item_choice	design							i	c
2019_ABu_90_2.ann	appearance	lex_item_choice	design							i	c
2019_ABu_90_2.ann	of									c	c
2019_ABu_90_2.ann	theirs	Pronouns	their							i	i
2019_ABu_90_2.ann	work									c	c
2019_ABu_90_2.ann	.									c	c

2019_ABu_90_2.ann	Nevertheless									c	c
2019_ABu_90_2.ann	,									c	c
2019_ABu_90_2.ann	some									c	c
2019_ABu_90_2.ann	people	Absence_comp_sent	people still claim							c	c
2019_ABu_90_2.ann	still	Absence_comp_sent	people still claim							c	c
2019_ABu_90_2.ann	that									i	c
2019_ABu_90_2.ann	the									c	c
2019_ABu_90_2.ann	estethic	Spelling	aesthetic							i	i
2019_ABu_90_2.ann	view									c	c
2019_ABu_90_2.ann	is									c	c
2019_ABu_90_2.ann	important									c	c
2019_ABu_90_2.ann	.									c	c

2019_EEr_277_2.ann	I									c	c
2019_EEr_277_2.ann	believe									c	c
2019_EEr_277_2.ann	that									c	c
2019_EEr_277_2.ann	children									c	c
2019_EEr_277_2.ann	should									c	c
2019_EEr_277_2.ann	learn	Word_order	not only learn							i	c
2019_EEr_277_2.ann	not	Word_order	not only learn							c	c
2019_EEr_277_2.ann	only	Word_order	not only learn							c	c
2019_EEr_277_2.ann	from									i	c
2019_EEr_277_2.ann	their									c	c
2019_EEr_277_2.ann	parents									c	c
2019_EEr_277_2.ann	,									c	c
2019_EEr_277_2.ann	but									c	c
2019_EEr_277_2.ann	they									c	c
2019_EEr_277_2.ann	can									c	c
2019_EEr_277_2.ann	surely									c	c
2019_EEr_277_2.ann	trust									c	c
2019_EEr_277_2.ann	them									c	c
2019_EEr_277_2.ann	more	Comparative_constr	more							c	c
2019_EEr_277_2.ann	,	Comparative_constr	more							i	c
2019_EEr_277_2.ann	than									c	c
2019_EEr_277_2.ann	an									c	c
2019_EEr_277_2.ann	unknown									c	c
2019_EEr_277_2.ann	person									c	c
2019_EEr_277_2.ann	.									c	c

2019_EEr_136_2.ann	This									c	c
2019_EEr_136_2.ann	project									c	c
2019_EEr_136_2.ann	is									c	c
2019_EEr_136_2.ann	nice									c	c
2019_EEr_136_2.ann	and									c	c
2019_EEr_136_2.ann	functional									c	c
2019_EEr_136_2.ann	.									c	c

2019_EEr_136_2.ann	There									c	c
2019_EEr_136_2.ann	are									c	c
2019_EEr_136_2.ann	many									c	c
2019_EEr_136_2.ann	offices									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	flats									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	shops									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	restaurants									c	c
2019_EEr_136_2.ann	and									c	c
2019_EEr_136_2.ann	may									c	c
2019_EEr_136_2.ann	be									c	c
2019_EEr_136_2.ann	something									c	c
2019_EEr_136_2.ann	else									c	c
2019_EEr_136_2.ann	in									c	c
2019_EEr_136_2.ann	it									c	i
2019_EEr_136_2.ann	.									c	c

2019_EEr_136_2.ann	Classic									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	gothic									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	modernd	Spelling	modern							i	i
2019_EEr_136_2.ann	and									c	c
2019_EEr_136_2.ann	many									c	c
2019_EEr_136_2.ann	others									c	c
2019_EEr_136_2.ann	.									c	c

2019_EEr_136_2.ann	On									c	c
2019_EEr_136_2.ann	the									c	c
2019_EEr_136_2.ann	other									c	c
2019_EEr_136_2.ann	hand									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	there									c	c
2019_EEr_136_2.ann	are									c	c
2019_EEr_136_2.ann	peole	Spelling	people							i	i
2019_EEr_136_2.ann	who									c	c
2019_EEr_136_2.ann	are									c	c
2019_EEr_136_2.ann	against									c	c
2019_EEr_136_2.ann	this									c	c
2019_EEr_136_2.ann	idea									c	c
2019_EEr_136_2.ann	.									c	c

2019_EEr_136_2.ann	Thus									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	of									c	i
2019_EEr_136_2.ann	corse	Spelling	course							i	i
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	first									c	c
2019_EEr_136_2.ann	of									c	c
2019_EEr_136_2.ann	all									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	buildings									c	c
2019_EEr_136_2.ann	are									c	c
2019_EEr_136_2.ann	for									c	c
2019_EEr_136_2.ann	living									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	working									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	eating									c	c
2019_EEr_136_2.ann	,									c	c
2019_EEr_136_2.ann	meeting									c	c
