filename	learner	TH1	TH1Diff	TH2	TH2Diff	markable_scheme	gold_label	predictions
1385_0001733.exb	la	la					c	c
1385_0001733.exb	tua	tua					c	c
1385_0001733.exb	email	email					c	c
1385_0001733.exb	.	.					c	c
								
1385_0001161.exb	Caro	Caro					c	c
1385_0001161.exb	Michele	Michele					c	c
1385_0001161.exb	,	,					c	c
1385_0001161.exb	grazie	grazie					c	c
1385_0001161.exb	per	per					c	c
1385_0001161.exb	la	la					c	c
1385_0001161.exb	tua	tua					c	c
1385_0001161.exb	email	email					c	c
1385_0001161.exb	.	.					c	c
								
1385_0001188.exb	È	È					c	c
1385_0001188.exb	una	una					c	c
1385_0001188.exb	settimana	settimana					c	c
1385_0001188.exb	orribile	orribile					c	c
1385_0001188.exb	.	.					c	c
								
1385_0001162.exb	Andiamo	Andiamo					c	c
1385_0001162.exb	a	a					c	c
1385_0001162.exb	cena	cena					c	c
1385_0001162.exb	in	in					c	c
1385_0001162.exb	un	un					c	c
1385_0001162.exb	ristorante	ristorante					c	c
1385_0001162.exb	tailandese	tailandese					c	c
1385_0001162.exb	.	.					c	c
								
1385_0001741.exb	Andiamo	Andiamo					c	c
1385_0001741.exb	a	a					c	c
1385_0001741.exb	cena	cena					c	c
1385_0001741.exb	in	in					c	c
1385_0001741.exb	un	un					c	c
1385_0001741.exb	ristorante	ristorante					c	c
1385_0001741.exb	tailandese	tailandese					c	c
1385_0001741.exb	.	.					c	c
								
1365_0100200.exb	Participerò	Parteciperò	CHA	Parteciperò	CHA	O_Graph	i	c
1365_0100200.exb	volentieri	volentieri		volentieri			c	c
1365_0100200.exb	a	a		a			c	c
1365_0100200.exb	tutti	tutti		tutti		G_Art	c	c
1365_0100200.exb	i	e	CHA	e	CHA	G_Pos	i	c
1365_0100200.exb	due	due		due		G_Art	c	c
1365_0100200.exb	eventi	eventi		eventi		G_Art	i	c
1365_0100200.exb	e	e		e			c	c
1365_0100200.exb	sono	sono		sono			c	c
1365_0100200.exb	molto	molto		molto			c	c
1365_0100200.exb	contento	contento		contento			c	c
1365_0100200.exb	di	di		di			c	c
1365_0100200.exb	essere	essere		essere			c	c
1365_0100200.exb	invitato	invitato		invitato			c	c
1365_0100200.exb	.	.		.			c	c
								
1365_0100200.exb	Comunque	Comunque		Comunque			c	c
1365_0100200.exb	,	,		,			c	c
1365_0100200.exb	in	in		in			c	c
1365_0100200.exb	primo	primo		primo			c	c
1365_0100200.exb	luogo	luogo		luogo			c	c
1365_0100200.exb	,	,		,			c	c
1365_0100200.exb	vorrei	vorrei		vorrei			c	c
1365_0100200.exb	fare	fare		fare			c	c
1365_0100200.exb	le	le		le			c	c
1365_0100200.exb	mie	mie		mie			c	c
1365_0100200.exb	congratulazioni	congratulazioni		congratulazioni			c	c
1365_0100200.exb	per	per		per			c	c
1365_0100200.exb	il	il		il			c	c
1365_0100200.exb	vostro	vostro		vostro			c	c
1365_0100200.exb	matrimonio	matrimonio		matrimonio			c	c
1365_0100200.exb	.	.		.			c	c
								
1325_9000136.exb	Nel	Nel					c	c
1325_9000136.exb	vostro	vostro					c	c
1325_9000136.exb	annuncio	annuncio					c	c
1325_9000136.exb	c'	c'					c	c
1325_9000136.exb	erano	erano					c	c
1325_9000136.exb	tante	tante					c	c
1325_9000136.exb	cose	cose					c	c
1325_9000136.exb	che	che					c	c
1325_9000136.exb	mi	mi					c	c
1325_9000136.exb	piacevano	piacevano					c	c
1325_9000136.exb	molto	molto					c	c
1325_9000136.exb	come	come					c	c
1325_9000136.exb	il	il					c	c
1325_9000136.exb	lago	lago					c	c
1325_9000136.exb	vicino	vicino					c	c
1325_9000136.exb	,	,					c	c
1325_9000136.exb	i	i					c	c
1325_9000136.exb	campi	campi					c	c
1325_9000136.exb	da	da					c	c
1325_9000136.exb	tennis	tennis					c	c
1325_9000136.exb	o	o					c	c
1325_9000136.exb	l'	l'					c	c
1325_9000136.exb	animazione	animazione					c	c
1325_9000136.exb	.	.					c	c
								
1325_9000136.exb	Io	Io					c	c
1325_9000136.exb	come	come					c	c
1325_9000136.exb	giocatore	giocatore					c	c
1325_9000136.exb	professionale	professionale					c	c
1325_9000136.exb	di	di					c	c
1325_9000136.exb	tennis	tennis					c	c
1325_9000136.exb	avevo	avevo					c	c
1325_9000136.exb	già	già					c	c
1325_9000136.exb	tanta	tanta					c	c
1325_9000136.exb	voglia	voglia					c	c
1325_9000136.exb	di	di					c	c
1325_9000136.exb	giocare	giocare					c	c
1325_9000136.exb	col	col					c	c
1325_9000136.exb	visto	visto					c	c
1325_9000136.exb	sul	sul					c	c
1325_9000136.exb	lago	lago					c	c
1325_9000136.exb	.	.					c	c
								
1325_9000136.exb	Oltre	Oltre					c	c
1325_9000136.exb	a	a					c	c
1325_9000136.exb	ciò	ciò					c	c
1325_9000136.exb	non	non					c	c
1325_9000136.exb	c'	c'					c	c
1325_9000136.exb	era	era					c	c
1325_9000136.exb	la	la					c	c
1325_9000136.exb	possibilità	possibilità					c	c
1325_9000136.exb	di	di					c	c
1325_9000136.exb	fare	fare					c	c
1325_9000136.exb	un	un					c	c
1325_9000136.exb	altro	altro					c	c
1325_9000136.exb	sport	sport					c	c
1325_9000136.exb	.	.					c	c
								
1385_0001161.exb	Vorrei	Vorrei					c	c
1385_0001161.exb	sapere	sapere					c	c
1385_0001161.exb	che	che					c	c
1385_0001161.exb	tipo	tipo					c	c
1385_0001161.exb	di	di					c	c
1385_0001161.exb	lavoro	lavoro					c	c
1385_0001161.exb	vuoi	vuoi					c	c
1385_0001161.exb	fare	fare					c	c
1385_0001161.exb	.	.					c	c
								
1385_0001739.exb	Come	Come					c	c
1385_0001739.exb	stai	stai					c	c
1385_0001739.exb	?	?					c	c
								
1385_0001162.exb	Come	Come					c	c
1385_0001162.exb	stai	stai					c	c
1385_0001162.exb	?	?					c	c
								
1385_0001752.exb	Come	Come					i	c
1385_0001752.exb	stai	stai					c	c
1385_0001752.exb	?	?					c	c
								
1385_0001754.exb	Come	come	CHA				i	c
1385_0001754.exb	stai	stai					c	c
1385_0001754.exb	?	?					c	c
								
1385_0001152.exb	Grazie	grazie	CHA				c	c
1385_0001152.exb	per	per					c	c
1385_0001152.exb	la	la					c	c
1385_0001152.exb	tua	tua					c	c
1385_0001152.exb	email	email					c	c
1385_0001152.exb	.	.					c	c
								
1385_0001158.exb	Grazie	Grazie					i	c
1385_0001158.exb	per	per					c	c
1385_0001158.exb	la	la					c	c
1385_0001158.exb	tua	tua					c	c
1385_0001158.exb	email	email					c	c
1385_0001158.exb	.	.					c	c
								
1385_0001158.exb	Puoi	Puoi					c	c
1385_0001158.exb	dirmi	dirmi					c	c
1385_0001158.exb	dove	dove					c	c
1385_0001158.exb	hai		DEL			G_Verb	i	c
1385_0001158.exb	lavorato	lavori	CHA			G_Verb	i	c
1385_0001158.exb	adesso	adesso					c	c
1385_0001158.exb	?	?					c	c
								
1325_1001139.exb	Pensavo	Pensavo					c	c
1325_1001139.exb	che	che					c	c
1325_1001139.exb	è	fosse	CHA			G_Verb	i	c
1325_1001139.exb	una	una					c	c
1325_1001139.exb	buona	buona					c	c
1325_1001139.exb	scelta	scelta					c	c
1325_1001139.exb	per	per					c	c
1325_1001139.exb	impararmi	imparare	CHA			G_Clit	i	c
1325_1001139.exb	una	una					c	c
1325_1001139.exb	lingua	lingua					c	c
1325_1001139.exb	meno	meno					c	c
1325_1001139.exb	faticosa	faticosa					c	c
1325_1001139.exb	.	.					c	c
								
1325_1001139.exb	Quando	Quando					c	c
1325_1001139.exb	studiavo	studiavo					c	c
1325_1001139.exb	questa	questa					c	c
1325_1001139.exb	lingua	lingua					c	c
1325_1001139.exb	conoscevo	conoscevo					c	c
1325_1001139.exb	anche	anche					c	c
1325_1001139.exb	la	la					c	c
1325_1001139.exb	nazione	nazione					c	c
1325_1001139.exb	italiana	italiana					c	c
1325_1001139.exb	,	,					c	c
1325_1001139.exb	la	la					c	c
1325_1001139.exb	traduzione	traduzione					c	c
1325_1001139.exb	italiana	italiana					c	c
1325_1001139.exb	,	,					c	c
1325_1001139.exb	il	il					c	c
1325_1001139.exb	paese	paese					c	c
1325_1001139.exb	.	.					c	c
								
1365_0100212.exb	Vengo	Vengo		Sono	CHA	V_FS	c	c
1365_0100212.exb	da	di	CHA	di	CHA	V_FS_form	i	i
1365_0100212.exb	tornare	ritorno	CHA	ritorno	CHA	V_FS	i	c
1365_0100212.exb	da	da		da		H_Intelltxt	c	c
1365_0100212.exb	Città	Città		Città		H_Intelltxt	c	c
1365_0100212.exb	Y	Y		Y		H_Intelltxt	c	c
1365_0100212.exb	dove	dove		dove		H_Intelltxt	c	c
1365_0100212.exb	ho	ho		ho		H_Intelltxt	c	c
1365_0100212.exb	visitato	visitato		visitato		H_Intelltxt	c	c
1365_0100212.exb	un'	un'		un'		H_Intelltxt	c	c
1365_0100212.exb	altra	altra		altra		H_Intelltxt	c	c
1365_0100212.exb	ditta	ditta		ditta		H_Intelltxt	c	c
1365_0100212.exb	che	che		che		H_Intelltxt	c	c
1365_0100212.exb	potrebbe	potrebbe		potrebbe		H_Intelltxt	c	c
1365_0100212.exb	essere	essere		essermi	CHA	H_Intelltxt	c	c
1365_0100212.exb	utile	utile		utile		H_Intelltxt	c	c
1365_0100212.exb	per	per		per		H_Intelltxt	c	c
1365_0100212.exb	il	il		il		H_Intelltxt	c	c
1365_0100212.exb	mio	mio		mio		H_Intelltxt	c	c
1365_0100212.exb	nuovo	nuovo		nuovo		H_Intelltxt	c	c
1365_0100212.exb	prodotto	prodotto		prodotto		H_Intelltxt	c	c
1365_0100212.exb	che	che		che		H_Intelltxt	c	c
1365_0100212.exb	sto	sto		sto		H_Intelltxt	c	c
1365_0100212.exb	sviluppando	sviluppando		sviluppando		H_Intelltxt	c	c
1365_0100212.exb	.	.		.		H_Intelltxt	c	c
								
1365_0100212.exb	Sai	Sai		Sai		V_FS	c	c
1365_0100212.exb	,	,		,		V_FS	c	c
1365_0100212.exb	penso	penso		penso		H_Intelltxt	c	c
1365_0100212.exb	che	che		che		H_Intelltxt	c	c
1365_0100212.exb	tu	tu		tu		H_Intelltxt	c	c
1365_0100212.exb	possa	possa		possa		H_Intelltxt	c	c
1365_0100212.exb	lavorare	lavorare		lavorare		H_Intelltxt	c	c
1365_0100212.exb	per	per		per		H_Intelltxt	c	c
1365_0100212.exb	me	me		me		H_Intelltxt	c	c
1365_0100212.exb	per	per		per		H_Intelltxt	c	c
1365_0100212.exb	qualche	qualche		qualche		H_Intelltxt	c	c
1365_0100212.exb	mese	mese		mese		H_Intelltxt	c	c
1365_0100212.exb	se	se		se		H_Intelltxt	c	c
1365_0100212.exb	vuoi	vuoi		vuoi		H_Intelltxt	c	c
1365_0100212.exb	.	.		.		H_Intelltxt	c	c
								
1385_0000097.exb	In	In					c	c
1385_0000097.exb	ufficio	ufficio					c	c
1385_0000097.exb	c'	c'					c	c
1385_0000097.exb	è	è					c	c
1385_0000097.exb	molto	molto					c	c
1385_0000097.exb	lavoro	lavoro					c	c
1385_0000097.exb	e	e					c	c
1385_0000097.exb	giovedì	giovedì					c	c
1385_0000097.exb	pomeriggio	pomeriggio					c	c
1385_0000097.exb	non	non					c	c
1385_0000097.exb	posso	posso					c	c
1385_0000097.exb	incontrarti	incontrarti					c	c
1385_0000097.exb	perché	perché					c	c
1385_0000097.exb	il	il					c	c
1385_0000097.exb	mio	mio					c	c
1385_0000097.exb	capo	capo					c	c
1385_0000097.exb	ha	ha					c	c
1385_0000097.exb	organizzato	organizzato					c	c
1385_0000097.exb	una	una					c	c
1385_0000097.exb	riunione	riunione					c	c
1385_0000097.exb	.	.					c	c
								
1365_0100233.exb	Sono	Sono					c	c
1365_0100233.exb	contenta	contenta					c	c
1365_0100233.exb	della	della					c	c
1365_0100233.exb	tua	tua					c	c
1365_0100233.exb	maturità	maturità					c	c
1365_0100233.exb	linguistica	linguistica					c	c
1365_0100233.exb	.	.					c	c
								
1365_0100233.exb	Per	Per					c	c
1365_0100233.exb	esempio	esempio					c	c
1365_0100233.exb	puoi	puoi					c	c
1365_0100233.exb	lavorare	lavorare					c	c
1365_0100233.exb	in	in					c	c
1365_0100233.exb	un	un					c	c
1365_0100233.exb	centro	centro					c	c
1365_0100233.exb	commerciale	commerciale					c	c
1365_0100233.exb	""""	""""					c	c
1365_0100233.exb	Centro	Centro					c	c
1365_0100233.exb	X	X					c	c
1365_0100233.exb	a	a					i	c
1365_0100233.exb	Città	Città					c	c
1365_0100233.exb	Y	Y					c	c
1365_0100233.exb	o	o					c	c
1365_0100233.exb	puoi	puoi					c	c
1365_0100233.exb	lavorare	lavorare					c	c
1365_0100233.exb	nell'	all'	CHA			G_Prep	i	c
1365_0100233.exb	asilo	asilo					c	c
1365_0100233.exb	o	o					c	c
1365_0100233.exb	diventi	diventi					c	c
1365_0100233.exb	proffessore	professore	CHA			O_Graph	i	i
1365_0100233.exb	.	.					c	c
								
1365_0100233.exb	Mi	Mi					c	c
1365_0100233.exb	piacerebbe	piacerebbe					c	c
1365_0100233.exb	studiare	studiare					c	c
1365_0100233.exb	all'	all'					c	c
1365_0100233.exb	Università	Università					c	c
1365_0100233.exb	a	a					c	c
1365_0100233.exb	Città	Città					c	c
1365_0100233.exb	Y	Y					c	c
1365_0100233.exb	e	e					c	c
1365_0100233.exb	forse	forse					c	c
1365_0100233.exb	dopo	dopo					c	c
1365_0100233.exb	un	un					c	c
1365_0100233.exb	po'	po'					c	c
1365_0100233.exb	di	di					c	c
1365_0100233.exb	tempo	tempo					c	c
1365_0100233.exb	in	in					c	c
1365_0100233.exb	Italia	Italia					c	c
1365_0100233.exb	.	.					c	c
								
1365_0100233.exb	Mi	Mi					c	c
1365_0100233.exb	manchi	manchi					c	c
1365_0100233.exb	.	.					c	c
								
1395_0000357.exb	Abbiamo	Abbiamo					c	c
1395_0000357.exb	molte	molte					c	c
1395_0000357.exb	cose	cose					c	c
1395_0000357.exb	da	da					c	c
1395_0000357.exb	fare	fare					c	c
1395_0000357.exb	e	e					c	c
1395_0000357.exb	nostro	nostro				G_Art	i	i
1395_0000357.exb	capo	capo				G_Art	c	c
1395_0000357.exb	é	è	CHA			O_Graph	i	i
1395_0000357.exb	severo	severo					c	c
1395_0000357.exb	.	.					c	c
								
1395_0000357.exb	Ma	Ma					c	c
1395_0000357.exb	sono	sono					c	c
1395_0000357.exb	molto	molto					c	c
1395_0000357.exb	contenta	contenta					c	c
1395_0000357.exb	di	di					c	c
1395_0000357.exb	questo	questo					c	c
1395_0000357.exb	lavoro	lavoro					c	c
1395_0000357.exb	perche	perché	CHA			O_Graph	i	i
1395_0000357.exb	per	in	CHA			G_Prep	i	c
1395_0000357.exb	questo	questo					c	c
1395_0000357.exb	tempo	tempo					c	c
1395_0000357.exb	ho	ho					c	c
1395_0000357.exb	imparato	imparato					c	c
1395_0000357.exb	molte	molte					c	c
1395_0000357.exb	cose	cose					c	c
1395_0000357.exb	nuove	nuove					c	c
1395_0000357.exb	.	.					c	c
								
1325_1001050.exb	Sono	Sono					c	c
1325_1001050.exb	stata	stata					c	c
1325_1001050.exb	più	più					c	c
1325_1001050.exb	volte	volte					c	c
1325_1001050.exb	in	in					c	c
1325_1001050.exb	Italia	Italia					c	c
1325_1001050.exb	,	,					c	c
1325_1001050.exb	dove	dove					c	c
1325_1001050.exb	ho	ho					c	c
1325_1001050.exb	conosciuto	conosciuto					c	c
1325_1001050.exb	una	una					c	c
1325_1001050.exb	ragazza	ragazza					c	c
1325_1001050.exb	italiana	italiana					c	c
1325_1001050.exb	.	.					c	c
								
1385_0001119.exb	Che	Che					c	c
1385_0001119.exb	ne	ne					c	c
1385_0001119.exb	dici	dici					c	c
1385_0001119.exb	?	?					c	c
								
1365_0100165.exb	Città	Città		Città		H_Intelltxt	c	c
1365_0100165.exb	X	X		X		H_Intelltxt	c	c
1365_0100165.exb	,	,		,		H_Intelltxt	c	c
1365_0100165.exb	14.05.2011	14.05.2011		14.05.2011		H_Intelltxt	c	c
1365_0100165.exb	Caro	Caro		Caro		S_Txt	c	c
1365_0100165.exb	Francesco	Francesco		Francesco		S_Txt	c	c
1365_0100165.exb	,	,		,		S_Txt	c	c
1365_0100165.exb	congratulo	congratulo		congratulo		H_Intelltxt	i	i
1365_0100165.exb	con	con		con		H_Intelltxt	c	i
1365_0100165.exb	te	te		te		H_Intelltxt	c	c
1365_0100165.exb	per	per		per		H_Intelltxt	c	c
1365_0100165.exb	avere	aver	CHA	aver	CHA	V_FS	i	c
1365_0100165.exb	superato	superato		superato		V_FS	c	c
1365_0100165.exb	l'	l'		l'		V_FS	c	c
1365_0100165.exb	esame	esame		esame		V_FS	c	c
1365_0100165.exb	,		DEL		DEL	H_Intelltxt	i	c
1365_0100165.exb	ed	e	CHA	e	CHA	H_Intelltxt	i	c
1365_0100165.exb	inoltre	inoltre		inoltre		H_Intelltxt	c	c
1365_0100165.exb	con	con		con		H_Intelltxt	c	c
1365_0100165.exb	il	il		il		V_FS	c	c
1365_0100165.exb	massimo	massimo		massimo		V_FS	c	c
1365_0100165.exb	dei	dei		dei		V_FS	c	c
1365_0100165.exb	voti	voti		voti		V_FS	c	c
1365_0100165.exb	!	!		!		H_Intelltxt	c	c
								
1385_0001744.exb	Ti	Ti					c	c
1385_0001744.exb	scritto	scrivo	CHA			G_Verb	i	c
1385_0001744.exb	qualcosa	qualcosa					c	c
1385_0001744.exb	ti	di	CHA			G_Pos	i	i
1385_0001744.exb	me	me					c	i
1385_0001744.exb	.	.					c	c
								
1385_0001132.exb	Allora	allora	CHA				i	c
1385_0001132.exb	non	non					c	c
1385_0001132.exb	ho	ho					c	c
1385_0001132.exb	tempo	tempo					c	c
1385_0001132.exb	per	per					c	c
1385_0001132.exb	incontrarvi	incontrarmi	CHA			G_Clit	i	i
1385_0001132.exb	con	con					c	c
1385_0001132.exb	tu	te	CHA			G_Morphol_Wrong	i	c
1385_0001132.exb	.	.					c	c
								
1365_0100299.exb	Sapere	Saper	CHA			O_Graph	i	c
1365_0100299.exb	cucinare	cucinare					c	c
1365_0100299.exb	è	è					c	c
1365_0100299.exb	sempre	sempre					c	c
1365_0100299.exb	utile	utile					c	c
1365_0100299.exb	...	...					c	c
								
1395_0001070.exb	Mia	Mia					c	c
1395_0001070.exb	figlia	figlia					c	c
1395_0001070.exb	ha	ha					c	c
1395_0001070.exb	comminciato	cominciato	CHA			O_Graph	i	i
1395_0001070.exb	a	a					c	c
1395_0001070.exb	giocare	giocare					c	c
1395_0001070.exb	al	a	CHA			G_Art	i	c
1395_0001070.exb	tennis	tennis					c	c
1395_0001070.exb	e	e					c	c
1395_0001070.exb	adesso	adesso					c	c
1395_0001070.exb	andiamo	andiamo					c	c
1395_0001070.exb	a	a					c	c
1395_0001070.exb	giocare	giocare					c	c
1395_0001070.exb	insieme	insieme					c	c
1395_0001070.exb	ogni	ogni					c	c
1395_0001070.exb	lunedì	lunedì					c	c
1395_0001070.exb	.	.					c	c
								
1395_0001070.exb	Mio	Mio					c	c
1395_0001070.exb	suocero	suocero					c	c
1395_0001070.exb	ha	ha					c	c
1395_0001070.exb	una	una					c	c
1395_0001070.exb	casa	casa					c	c
1395_0001070.exb	in	nella	CHA			G_Art	i	c
1395_0001070.exb	quale	quale				G_Art	c	c
1395_0001070.exb	siamo	siamo					c	c
1395_0001070.exb	stati	stati					c	c
1395_0001070.exb	per	per					c	c
1395_0001070.exb	una	una					c	c
1395_0001070.exb	settimana	settimana					c	c
1395_0001070.exb	.	.					c	c
								
1385_0001178.exb	Come	Quanto	CHA			G_Verb_main	i	c
1385_0001178.exb	lavorare	lavori	CHA			G_Verb_main	i	i
1385_0001178.exb	tu	tu				G_Verb_main	c	i
1385_0001178.exb	a	di	CHA			G_Verb_main	i	i
1385_0001178.exb	venerdi	venerdì	CHA			G_Verb_main	i	i
1385_0001178.exb	sera	sera				G_Verb_main	c	c
1385_0001178.exb	?	?					c	c
								
1395_0000565.exb	Com'	Com'		Com'		H_Intelltxt	c	c
1395_0000565.exb	è	è		è		H_Intelltxt	c	c
1395_0000565.exb	la	la		la		H_Intelltxt	c	c
1395_0000565.exb	tua	tua		tua		H_Intelltxt	c	c
1395_0000565.exb	città	città		città		H_Intelltxt	c	c
1395_0000565.exb	?	?		?		H_Intelltxt	c	c
								
1395_0001019.exb	Com'	Com'					c	c
1395_0001019.exb	è	è					c	c
1395_0001019.exb	la	la					c	c
1395_0001019.exb	tua	tua					c	c
1395_0001019.exb	città	città					c	c
1395_0001019.exb	?	?					c	c
								
1395_0001019.exb	E	E					c	c
1395_0001019.exb	come	come					c	c
1395_0001019.exb	sta	sta					c	c
1395_0001019.exb	la	la					c	c
1395_0001019.exb	tua	tua					c	c
1395_0001019.exb	famiglia	famiglia					c	c
1395_0001019.exb	?	?					c	c
								
1385_0001195.exb	Speriamo	Speriamo				G_Conj	c	c
1385_0001195.exb	ti	tu	CHA			G_Conj	i	i
1385_0001195.exb	stai	stia	CHA			G_Conj	i	i
1385_0001195.exb	bene	bene				G_Conj	c	c
1385_0001195.exb	;	.	CHA			O_Punct	c	c
1385_0001195.exb	a	A	CHA				i	i
1385_0001195.exb	questo	questo					c	c
1385_0001195.exb	sabato	sabato					c	c
1385_0001195.exb	!	!					c	c
								
1325_1001055.exb	Sempre	sempre	CHA			G_Wo	i	c
1325_1001055.exb	mi		MOVS			G_Wo	i	c
1325_1001055.exb	piaceva	piaciuta	CHA			G_Verb	i	c
1325_1001055.exb	l'		MOVS			G_Wo	i	c
1325_1001055.exb	Italia		MOVS			G_Wo	i	c
1325_1001055.exb	e	e				G_Wo	c	c
1325_1001055.exb	la	la				G_Wo	i	c
1325_1001055.exb	pronuncia	pronuncia				G_Wo	c	c
1325_1001055.exb	italiana	italiana				G_Wo	c	c
1325_1001055.exb	.	.				G_Wo	c	c
								
1325_1001055.exb	Però	Però					c	c
1325_1001055.exb	era	era					c	c
1325_1001055.exb	stato	stato					c	c
1325_1001055.exb	un	un					c	c
1325_1001055.exb	sogno	sogno					c	c
1325_1001055.exb	per	per					c	c
1325_1001055.exb	alcuni	alcuni					c	c
