filename	learner	TH1	TH1Diff	TH2	TH2Diff	markable_scheme	gold_label
1325_1001126.exb	Vecchio	Vecchio					c
1325_1001126.exb	118	118					c
1325_1001126.exb	Palermo	Palermo					c
1325_1001126.exb	Settimana	Settimana					c
1325_1001126.exb	Giovani	Giovani					c
1325_1001126.exb	via	via					c
1325_1001126.exb	Crispi	Crispi					c
1325_1001126.exb	,	,					c
1325_1001126.exb	119	119					c
1325_1001126.exb	,	,					c
1325_1001126.exb	8017	8017					c
1325_1001126.exb	Caserta	Caserta					c
1325_1001126.exb	Caro	Caro					c
1325_1001126.exb	Giorgio	Giorgio					c
1325_1001126.exb	,	,					c
1325_1001126.exb	ho	ho					c
1325_1001126.exb	ricevuto	ricevuto					c
1325_1001126.exb	la	la					c
1325_1001126.exb	tua	tua					c
1325_1001126.exb	lettera	lettera					c
1325_1001126.exb	e	e					c
1325_1001126.exb	penso	penso					c
1325_1001126.exb	che	che					c
1325_1001126.exb	la	il	CHA				i
1325_1001126.exb	tua	tuo	CHA				i
1325_1001126.exb	problema	problema					c
1325_1001126.exb	andava	andava					c
1325_1001126.exb	sul	sul					c
1325_1001126.exb	serio	serio					c
1325_1001126.exb	,	,					c
1325_1001126.exb	dunque	dunque					c
1325_1001126.exb	io	io					c
1325_1001126.exb	darò	darò					c
1325_1001126.exb	una	una					c
1325_1001126.exb	mano	mano					c
1325_1001126.exb	.	.					c
							
1365_0100287.exb	caro	caro					c
1365_0100287.exb	Stefano	Stefano					c
1365_0100287.exb	!	,	CHA			O_Punct	c
							
1385_0001154.exb	Caro	Caro					c
1385_0001154.exb	Michele	Michele					c
1385_0001154.exb	,	,					c
1385_0001154.exb	grazie	grazie					c
1385_0001154.exb	per	per					c
1385_0001154.exb	la	la					c
1385_0001154.exb	tua	tua					c
1385_0001154.exb	email	email					c
1385_0001154.exb	.	.					c
							
1385_0001733.exb	Caro	Caro					c
1385_0001733.exb	Michele	Michele					c
1385_0001733.exb	,	,					c
1385_0001733.exb	grazie	grazie					c
1385_0001733.exb	per	per					c
1385_0001733.exb	la	la					c
1385_0001733.exb	tua	tua					c
1385_0001733.exb	email	email					c
1385_0001733.exb	.	.					c
							
1385_0001161.exb	Caro	Caro					c
1385_0001161.exb	Michele	Michele					c
1385_0001161.exb	,	,					c
1385_0001161.exb	grazie	grazie					c
1385_0001161.exb	per	per					c
1385_0001161.exb	la	la					c
1385_0001161.exb	tua	tua					c
1385_0001161.exb	email	email					c
1385_0001161.exb	.	.					c
							
1385_0001188.exb	È	È					c
1385_0001188.exb	una	una					c
1385_0001188.exb	settimana	settimana					c
1385_0001188.exb	orribile	orribile					c
1385_0001188.exb	.	.					c
							
1385_0001162.exb	Andiamo	Andiamo					c
1385_0001162.exb	a	a					c
1385_0001162.exb	cena	cena					c
1385_0001162.exb	in	in					c
1385_0001162.exb	un	un					c
1385_0001162.exb	ristorante	ristorante					c
1385_0001162.exb	tailandese	tailandese					c
1385_0001162.exb	.	.					c
							
1385_0001741.exb	Andiamo	Andiamo					c
1385_0001741.exb	a	a					c
1385_0001741.exb	cena	cena					c
1385_0001741.exb	in	in					c
1385_0001741.exb	un	un					c
1385_0001741.exb	ristorante	ristorante					c
1385_0001741.exb	tailandese	tailandese					c
1385_0001741.exb	.	.					c
							
1365_0100200.exb	Participerò	Parteciperò	CHA	Parteciperò	CHA	O_Graph	i
1365_0100200.exb	volentieri	volentieri		volentieri			c
1365_0100200.exb	a	a		a			c
1365_0100200.exb	tutti	tutti		tutti		G_Art	c
1365_0100200.exb	i	e	CHA	e	CHA	G_Pos	i
1365_0100200.exb	due	due		due		G_Art	c
1365_0100200.exb	eventi	eventi		eventi		G_Art	i
1365_0100200.exb	e	e		e			c
1365_0100200.exb	sono	sono		sono			c
1365_0100200.exb	molto	molto		molto			c
1365_0100200.exb	contento	contento		contento			c
1365_0100200.exb	di	di		di			c
1365_0100200.exb	essere	essere		essere			c
1365_0100200.exb	invitato	invitato		invitato			c
1365_0100200.exb	.	.		.			c
							
1365_0100200.exb	Comunque	Comunque		Comunque			c
1365_0100200.exb	,	,		,			c
1365_0100200.exb	in	in		in			c
1365_0100200.exb	primo	primo		primo			c
1365_0100200.exb	luogo	luogo		luogo			c
1365_0100200.exb	,	,		,			c
1365_0100200.exb	vorrei	vorrei		vorrei			c
1365_0100200.exb	fare	fare		fare			c
1365_0100200.exb	le	le		le			c
1365_0100200.exb	mie	mie		mie			c
1365_0100200.exb	congratulazioni	congratulazioni		congratulazioni			c
1365_0100200.exb	per	per		per			c
1365_0100200.exb	il	il		il			c
1365_0100200.exb	vostro	vostro		vostro			c
1365_0100200.exb	matrimonio	matrimonio		matrimonio			c
1365_0100200.exb	.	.		.			c
							
1325_9000136.exb	Nel	Nel					c
1325_9000136.exb	vostro	vostro					c
1325_9000136.exb	annuncio	annuncio					c
1325_9000136.exb	c'	c'					c
1325_9000136.exb	erano	erano					c
1325_9000136.exb	tante	tante					c
1325_9000136.exb	cose	cose					c
1325_9000136.exb	che	che					c
1325_9000136.exb	mi	mi					c
1325_9000136.exb	piacevano	piacevano					c
1325_9000136.exb	molto	molto					c
1325_9000136.exb	come	come					c
1325_9000136.exb	il	il					c
1325_9000136.exb	lago	lago					c
1325_9000136.exb	vicino	vicino					c
1325_9000136.exb	,	,					c
1325_9000136.exb	i	i					c
1325_9000136.exb	campi	campi					c
1325_9000136.exb	da	da					c
1325_9000136.exb	tennis	tennis					c
1325_9000136.exb	o	o					c
1325_9000136.exb	l'	l'					c
1325_9000136.exb	animazione	animazione					c
1325_9000136.exb	.	.					c
							
1325_9000136.exb	Io	Io					c
1325_9000136.exb	come	come					c
1325_9000136.exb	giocatore	giocatore					c
1325_9000136.exb	professionale	professionale					c
1325_9000136.exb	di	di					c
1325_9000136.exb	tennis	tennis					c
1325_9000136.exb	avevo	avevo					c
1325_9000136.exb	già	già					c
1325_9000136.exb	tanta	tanta					c
1325_9000136.exb	voglia	voglia					c
1325_9000136.exb	di	di					c
1325_9000136.exb	giocare	giocare					c
1325_9000136.exb	col	col					c
1325_9000136.exb	visto	visto					c
1325_9000136.exb	sul	sul					c
1325_9000136.exb	lago	lago					c
1325_9000136.exb	.	.					c
							
1325_9000136.exb	Oltre	Oltre					c
1325_9000136.exb	a	a					c
1325_9000136.exb	ciò	ciò					c
1325_9000136.exb	non	non					c
1325_9000136.exb	c'	c'					c
1325_9000136.exb	era	era					c
1325_9000136.exb	la	la					c
1325_9000136.exb	possibilità	possibilità					c
1325_9000136.exb	di	di					c
1325_9000136.exb	fare	fare					c
1325_9000136.exb	un	un					c
1325_9000136.exb	altro	altro					c
1325_9000136.exb	sport	sport					c
1325_9000136.exb	.	.					c
							
1385_0001161.exb	Vorrei	Vorrei					c
1385_0001161.exb	sapere	sapere					c
1385_0001161.exb	che	che					c
1385_0001161.exb	tipo	tipo					c
1385_0001161.exb	di	di					c
1385_0001161.exb	lavoro	lavoro					c
1385_0001161.exb	vuoi	vuoi					c
1385_0001161.exb	fare	fare					c
1385_0001161.exb	.	.					c
							
1385_0001739.exb	Come	Come					c
1385_0001739.exb	stai	stai					c
1385_0001739.exb	?	?					c
							
1385_0001162.exb	Come	Come					c
1385_0001162.exb	stai	stai					c
1385_0001162.exb	?	?					c
							
1385_0001752.exb	Come	Come					i
1385_0001752.exb	stai	stai					c
1385_0001752.exb	?	?					c
							
1385_0001754.exb	Come	come	CHA				i
1385_0001754.exb	stai	stai					c
1385_0001754.exb	?	?					c
							
1385_0001152.exb	Grazie	grazie	CHA				c
1385_0001152.exb	per	per					c
1385_0001152.exb	la	la					c
1385_0001152.exb	tua	tua					c
1385_0001152.exb	email	email					c
1385_0001152.exb	.	.					c
							
1385_0001158.exb	Grazie	Grazie					i
1385_0001158.exb	per	per					c
1385_0001158.exb	la	la					c
1385_0001158.exb	tua	tua					c
1385_0001158.exb	email	email					c
1385_0001158.exb	.	.					c
							
1385_0001158.exb	Puoi	Puoi					c
1385_0001158.exb	dirmi	dirmi					c
1385_0001158.exb	dove	dove					c
1385_0001158.exb	hai		DEL			G_Verb	i
1385_0001158.exb	lavorato	lavori	CHA			G_Verb	i
1385_0001158.exb	adesso	adesso					c
1385_0001158.exb	?	?					c
							
1325_1001139.exb	Pensavo	Pensavo					c
1325_1001139.exb	che	che					c
1325_1001139.exb	è	fosse	CHA			G_Verb	i
1325_1001139.exb	una	una					c
1325_1001139.exb	buona	buona					c
1325_1001139.exb	scelta	scelta					c
1325_1001139.exb	per	per					c
1325_1001139.exb	impararmi	imparare	CHA			G_Clit	i
1325_1001139.exb	una	una					c
1325_1001139.exb	lingua	lingua					c
1325_1001139.exb	meno	meno					c
1325_1001139.exb	faticosa	faticosa					c
1325_1001139.exb	.	.					c
							
1325_1001139.exb	Quando	Quando					c
1325_1001139.exb	studiavo	studiavo					c
1325_1001139.exb	questa	questa					c
1325_1001139.exb	lingua	lingua					c
1325_1001139.exb	conoscevo	conoscevo					c
1325_1001139.exb	anche	anche					c
1325_1001139.exb	la	la					c
1325_1001139.exb	nazione	nazione					c
1325_1001139.exb	italiana	italiana					c
1325_1001139.exb	,	,					c
1325_1001139.exb	la	la					c
1325_1001139.exb	traduzione	traduzione					c
1325_1001139.exb	italiana	italiana					c
1325_1001139.exb	,	,					c
1325_1001139.exb	il	il					c
1325_1001139.exb	paese	paese					c
1325_1001139.exb	.	.					c
							
1365_0100212.exb	Vengo	Vengo		Sono	CHA	V_FS	c
1365_0100212.exb	da	di	CHA	di	CHA	V_FS_form	i
1365_0100212.exb	tornare	ritorno	CHA	ritorno	CHA	V_FS	i
1365_0100212.exb	da	da		da		H_Intelltxt	c
1365_0100212.exb	Città	Città		Città		H_Intelltxt	c
1365_0100212.exb	Y	Y		Y		H_Intelltxt	c
1365_0100212.exb	dove	dove		dove		H_Intelltxt	c
1365_0100212.exb	ho	ho		ho		H_Intelltxt	c
1365_0100212.exb	visitato	visitato		visitato		H_Intelltxt	c
1365_0100212.exb	un'	un'		un'		H_Intelltxt	c
1365_0100212.exb	altra	altra		altra		H_Intelltxt	c
1365_0100212.exb	ditta	ditta		ditta		H_Intelltxt	c
1365_0100212.exb	che	che		che		H_Intelltxt	c
1365_0100212.exb	potrebbe	potrebbe		potrebbe		H_Intelltxt	c
1365_0100212.exb	essere	essere		essermi	CHA	H_Intelltxt	c
1365_0100212.exb	utile	utile		utile		H_Intelltxt	c
1365_0100212.exb	per	per		per		H_Intelltxt	c
1365_0100212.exb	il	il		il		H_Intelltxt	c
1365_0100212.exb	mio	mio		mio		H_Intelltxt	c
1365_0100212.exb	nuovo	nuovo		nuovo		H_Intelltxt	c
1365_0100212.exb	prodotto	prodotto		prodotto		H_Intelltxt	c
1365_0100212.exb	che	che		che		H_Intelltxt	c
1365_0100212.exb	sto	sto		sto		H_Intelltxt	c
1365_0100212.exb	sviluppando	sviluppando		sviluppando		H_Intelltxt	c
1365_0100212.exb	.	.		.		H_Intelltxt	c
							
1365_0100212.exb	Sai	Sai		Sai		V_FS	c
1365_0100212.exb	,	,		,		V_FS	c
1365_0100212.exb	penso	penso		penso		H_Intelltxt	c
1365_0100212.exb	che	che		che		H_Intelltxt	c
1365_0100212.exb	tu	tu		tu		H_Intelltxt	c
1365_0100212.exb	possa	possa		possa		H_Intelltxt	c
1365_0100212.exb	lavorare	lavorare		lavorare		H_Intelltxt	c
1365_0100212.exb	per	per		per		H_Intelltxt	c
1365_0100212.exb	me	me		me		H_Intelltxt	c
1365_0100212.exb	per	per		per		H_Intelltxt	c
1365_0100212.exb	qualche	qualche		qualche		H_Intelltxt	c
1365_0100212.exb	mese	mese		mese		H_Intelltxt	c
1365_0100212.exb	se	se		se		H_Intelltxt	c
1365_0100212.exb	vuoi	vuoi		vuoi		H_Intelltxt	c
1365_0100212.exb	.	.		.		H_Intelltxt	c
							
1385_0000097.exb	In	In					c
1385_0000097.exb	ufficio	ufficio					c
1385_0000097.exb	c'	c'					c
1385_0000097.exb	è	è					c
1385_0000097.exb	molto	molto					c
1385_0000097.exb	lavoro	lavoro					c
1385_0000097.exb	e	e					c
1385_0000097.exb	giovedì	giovedì					c
1385_0000097.exb	pomeriggio	pomeriggio					c
1385_0000097.exb	non	non					c
1385_0000097.exb	posso	posso					c
1385_0000097.exb	incontrarti	incontrarti					c
1385_0000097.exb	perché	perché					c
1385_0000097.exb	il	il					c
1385_0000097.exb	mio	mio					c
1385_0000097.exb	capo	capo					c
1385_0000097.exb	ha	ha					c
1385_0000097.exb	organizzato	organizzato					c
1385_0000097.exb	una	una					c
1385_0000097.exb	riunione	riunione					c
1385_0000097.exb	.	.					c
							
1365_0100233.exb	Sono	Sono					c
1365_0100233.exb	contenta	contenta					c
1365_0100233.exb	della	della					c
1365_0100233.exb	tua	tua					c
1365_0100233.exb	maturità	maturità					c
1365_0100233.exb	linguistica	linguistica					c
1365_0100233.exb	.	.					c
							
1365_0100233.exb	Per	Per					c
1365_0100233.exb	esempio	esempio					c
1365_0100233.exb	puoi	puoi					c
1365_0100233.exb	lavorare	lavorare					c
1365_0100233.exb	in	in					c
1365_0100233.exb	un	un					c
1365_0100233.exb	centro	centro					c
1365_0100233.exb	commerciale	commerciale					c
1365_0100233.exb	""""	""""					c
1365_0100233.exb	Centro	Centro					c
1365_0100233.exb	X	X					c
1365_0100233.exb	a	a					i
1365_0100233.exb	Città	Città					c
1365_0100233.exb	Y	Y					c
1365_0100233.exb	o	o					c
1365_0100233.exb	puoi	puoi					c
1365_0100233.exb	lavorare	lavorare					c
1365_0100233.exb	nell'	all'	CHA			G_Prep	i
1365_0100233.exb	asilo	asilo					c
1365_0100233.exb	o	o					c
1365_0100233.exb	diventi	diventi					c
1365_0100233.exb	proffessore	professore	CHA			O_Graph	i
1365_0100233.exb	.	.					c
							
1365_0100233.exb	Mi	Mi					c
1365_0100233.exb	piacerebbe	piacerebbe					c
1365_0100233.exb	studiare	studiare					c
1365_0100233.exb	all'	all'					c
1365_0100233.exb	Università	Università					c
1365_0100233.exb	a	a					c
1365_0100233.exb	Città	Città					c
1365_0100233.exb	Y	Y					c
1365_0100233.exb	e	e					c
1365_0100233.exb	forse	forse					c
1365_0100233.exb	dopo	dopo					c
1365_0100233.exb	un	un					c
1365_0100233.exb	po'	po'					c
1365_0100233.exb	di	di					c
1365_0100233.exb	tempo	tempo					c
1365_0100233.exb	in	in					c
1365_0100233.exb	Italia	Italia					c
1365_0100233.exb	.	.					c
							
1365_0100233.exb	Mi	Mi					c
1365_0100233.exb	manchi	manchi					c
1365_0100233.exb	.	.					c
							
1395_0000357.exb	Abbiamo	Abbiamo					c
1395_0000357.exb	molte	molte					c
1395_0000357.exb	cose	cose					c
1395_0000357.exb	da	da					c
1395_0000357.exb	fare	fare					c
1395_0000357.exb	e	e					c
1395_0000357.exb	nostro	nostro				G_Art	i
1395_0000357.exb	capo	capo				G_Art	c
1395_0000357.exb	é	è	CHA			O_Graph	i
1395_0000357.exb	severo	severo					c
1395_0000357.exb	.	.					c
							
1395_0000357.exb	Ma	Ma					c
1395_0000357.exb	sono	sono					c
1395_0000357.exb	molto	molto					c
1395_0000357.exb	contenta	contenta					c
1395_0000357.exb	di	di					c
1395_0000357.exb	questo	questo					c
1395_0000357.exb	lavoro	lavoro					c
1395_0000357.exb	perche	perché	CHA			O_Graph	i
1395_0000357.exb	per	in	CHA			G_Prep	i
1395_0000357.exb	questo	questo					c
1395_0000357.exb	tempo	tempo					c
1395_0000357.exb	ho	ho					c
1395_0000357.exb	imparato	imparato					c
1395_0000357.exb	molte	molte					c
1395_0000357.exb	cose	cose					c
1395_0000357.exb	nuove	nuove					c
1395_0000357.exb	.	.					c
							
1325_1001050.exb	Sono	Sono					c
1325_1001050.exb	stata	stata					c
1325_1001050.exb	più	più					c
1325_1001050.exb	volte	volte					c
1325_1001050.exb	in	in					c
1325_1001050.exb	Italia	Italia					c
1325_1001050.exb	,	,					c
1325_1001050.exb	dove	dove					c
1325_1001050.exb	ho	ho					c
1325_1001050.exb	conosciuto	conosciuto					c
1325_1001050.exb	una	una					c
1325_1001050.exb	ragazza	ragazza					c
1325_1001050.exb	italiana	italiana					c
1325_1001050.exb	.	.					c
							
1385_0001119.exb	Che	Che					c
1385_0001119.exb	ne	ne					c
1385_0001119.exb	dici	dici					c
1385_0001119.exb	?	?					c
							
1365_0100165.exb	Città	Città		Città		H_Intelltxt	c
1365_0100165.exb	X	X		X		H_Intelltxt	c
1365_0100165.exb	,	,		,		H_Intelltxt	c
1365_0100165.exb	14.05.2011	14.05.2011		14.05.2011		H_Intelltxt	c
1365_0100165.exb	Caro	Caro		Caro		S_Txt	c
1365_0100165.exb	Francesco	Francesco		Francesco		S_Txt	c
1365_0100165.exb	,	,		,		S_Txt	c
1365_0100165.exb	congratulo	congratulo		congratulo		H_Intelltxt	i
1365_0100165.exb	con	con		con		H_Intelltxt	c
1365_0100165.exb	te	te		te		H_Intelltxt	c
1365_0100165.exb	per	per		per		H_Intelltxt	c
1365_0100165.exb	avere	aver	CHA	aver	CHA	V_FS	i
1365_0100165.exb	superato	superato		superato		V_FS	c
1365_0100165.exb	l'	l'		l'		V_FS	c
1365_0100165.exb	esame	esame		esame		V_FS	c
1365_0100165.exb	,		DEL		DEL	H_Intelltxt	i
1365_0100165.exb	ed	e	CHA	e	CHA	H_Intelltxt	i
1365_0100165.exb	inoltre	inoltre		inoltre		H_Intelltxt	c
1365_0100165.exb	con	con		con		H_Intelltxt	c
1365_0100165.exb	il	il		il		V_FS	c
1365_0100165.exb	massimo	massimo		massimo		V_FS	c
1365_0100165.exb	dei	dei		dei		V_FS	c
1365_0100165.exb	voti	voti		voti		V_FS	c
1365_0100165.exb	!	!		!		H_Intelltxt	c
							
1385_0001744.exb	Ti	Ti					c
1385_0001744.exb	scritto	scrivo	CHA			G_Verb	i
1385_0001744.exb	qualcosa	qualcosa					c
1385_0001744.exb	ti	di	CHA			G_Pos	i
1385_0001744.exb	me	me					c
1385_0001744.exb	.	.					c
							
1385_0001132.exb	Allora	allora	CHA				i
1385_0001132.exb	non	non					c
1385_0001132.exb	ho	ho					c
1385_0001132.exb	tempo	tempo					c
1385_0001132.exb	per	per					c
1385_0001132.exb	incontrarvi	incontrarmi	CHA			G_Clit	i
1385_0001132.exb	con	con					c
1385_0001132.exb	tu	te	CHA			G_Morphol_Wrong	i
1385_0001132.exb	.	.					c
							
1365_0100299.exb	Sapere	Saper	CHA			O_Graph	i
1365_0100299.exb	cucinare	cucinare					c
1365_0100299.exb	è	è					c
1365_0100299.exb	sempre	sempre					c
1365_0100299.exb	utile	utile					c
1365_0100299.exb	...	...					c
							
1395_0001070.exb	Mia	Mia					c
1395_0001070.exb	figlia	figlia					c
1395_0001070.exb	ha	ha					c
1395_0001070.exb	comminciato	cominciato	CHA			O_Graph	i
1395_0001070.exb	a	a					c
1395_0001070.exb	giocare	giocare					c
1395_0001070.exb	al	a	CHA			G_Art	i
1395_0001070.exb	tennis	tennis					c
1395_0001070.exb	e	e					c
1395_0001070.exb	adesso	adesso					c
1395_0001070.exb	andiamo	andiamo					c
1395_0001070.exb	a	a					c
1395_0001070.exb	giocare	giocare					c
1395_0001070.exb	insieme	insieme					c
1395_0001070.exb	ogni	ogni					c
1395_0001070.exb	lunedì	lunedì					c
1395_0001070.exb	.	.					c
							
1395_0001070.exb	Mio	Mio					c
1395_0001070.exb	suocero	suocero					c
1395_0001070.exb	ha	ha					c
1395_0001070.exb	una	una					c
1395_0001070.exb	casa	casa					c
1395_0001070.exb	in	nella	CHA			G_Art	i
1395_0001070.exb	quale	quale				G_Art	c
1395_0001070.exb	siamo	siamo					c
1395_0001070.exb	stati	stati					c
1395_0001070.exb	per	per					c
1395_0001070.exb	una	una					c
1395_0001070.exb	settimana	settimana					c
1395_0001070.exb	.	.					c
							
1385_0001178.exb	Come	Quanto	CHA			G_Verb_main	i
1385_0001178.exb	lavorare	lavori	CHA			G_Verb_main	i
1385_0001178.exb	tu	tu				G_Verb_main	c
1385_0001178.exb	a	di	CHA			G_Verb_main	i
1385_0001178.exb	venerdi	venerdì	CHA			G_Verb_main	i
1385_0001178.exb	sera	sera				G_Verb_main	c
1385_0001178.exb	?	?					c
							
1395_0000565.exb	Com'	Com'		Com'		H_Intelltxt	c
1395_0000565.exb	è	è		è		H_Intelltxt	c
1395_0000565.exb	la	la		la		H_Intelltxt	c
1395_0000565.exb	tua	tua		tua		H_Intelltxt	c
1395_0000565.exb	città	città		città		H_Intelltxt	c
1395_0000565.exb	?	?		?		H_Intelltxt	c
							
1395_0001019.exb	Com'	Com'					c
1395_0001019.exb	è	è					c
1395_0001019.exb	la	la					c
1395_0001019.exb	tua	tua					c
1395_0001019.exb	città	città					c
1395_0001019.exb	?	?					c
							
1395_0001019.exb	E	E					c
1395_0001019.exb	come	come					c
1395_0001019.exb	sta	sta					c
1395_0001019.exb	la	la					c
1395_0001019.exb	tua	tua					c
1395_0001019.exb	famiglia	famiglia					c
1395_0001019.exb	?	?					c
							
1385_0001195.exb	Speriamo	Speriamo				G_Conj	c
1385_0001195.exb	ti	tu	CHA			G_Conj	i
1385_0001195.exb	stai	stia	CHA			G_Conj	i
1385_0001195.exb	bene	bene				G_Conj	c
1385_0001195.exb	;	.	CHA			O_Punct	c
1385_0001195.exb	a	A	CHA				i
1385_0001195.exb	questo	questo					c
1385_0001195.exb	sabato	sabato					c
1385_0001195.exb	!	!					c
							
1325_1001055.exb	Sempre	sempre	CHA			G_Wo	i
1325_1001055.exb	mi		MOVS			G_Wo	i
1325_1001055.exb	piaceva	piaciuta	CHA			G_Verb	i
1325_1001055.exb	l'		MOVS			G_Wo	i
1325_1001055.exb	Italia		MOVS			G_Wo	i
1325_1001055.exb	e	e				G_Wo	c
1325_1001055.exb	la	la				G_Wo	i
1325_1001055.exb	pronuncia	pronuncia				G_Wo	c
1325_1001055.exb	italiana	italiana				G_Wo	c
1325_1001055.exb	.	.				G_Wo	c
							
1325_1001055.exb	Però	Però					c
1325_1001055.exb	era	era					c
1325_1001055.exb	stato	stato					c
1325_1001055.exb	un	un					c
1325_1001055.exb	sogno	sogno					c
1325_1001055.exb	per	per					c
1325_1001055.exb	alcuni	alcuni					c
1325_1001055.exb	anni	anni					c
1325_1001055.exb	.	.					c
							
1325_1001055.exb	Ho	Ho					c
1325_1001055.exb	la	la					c
1325_1001055.exb	passione	passione					c
1325_1001055.exb	,	,					c
1325_1001055.exb	ho	ho					c
1325_1001055.exb	il	il					c
1325_1001055.exb	motivo	motivo					c
1325_1001055.exb	per	per					c
1325_1001055.exb	migliorare	migliorare					c
1325_1001055.exb	continuamente	continuamente					c
1325_1001055.exb	il	il					c
1325_1001055.exb	mio	mio					c
1325_1001055.exb	livello	livello					c
1325_1001055.exb	.	.					c
							
1365_0100022.exb	Vorrei	Vorrei					c
1365_0100022.exb	sapere	sapere					c
1365_0100022.exb	Io	quello	CHA			G_Pos	i
1365_0100022.exb	che	che					c
1365_0100022.exb	devró	dovrò	CHA			G_Inflect_Inexist	i
1365_0100022.exb	comprare	comprare					c
1365_0100022.exb	per	per					c
1365_0100022.exb	il	il					c
1365_0100022.exb	vostro	vostro					c
1365_0100022.exb	matrimonio	matrimonio					c
1365_0100022.exb	,	,					c
1365_0100022.exb	se	se					c
1365_0100022.exb	avete	avete					c
1365_0100022.exb	fatto	fatto					c
1365_0100022.exb	una	una					c
1365_0100022.exb	lista	lista					c
1365_0100022.exb	di	di					c
1365_0100022.exb	matrimonio	matrimonio					c
1365_0100022.exb	o	o					c
1365_0100022.exb	no	no					c
1365_0100022.exb	.	.					c
							
1365_0100022.exb	Mi	Mi					c
1365_0100022.exb	piaccerebbe	piacerebbe	CHA			O_Graph	i
1365_0100022.exb	di		DEL			G_Prep	i
1365_0100022.exb	sapere	sapere					c
1365_0100022.exb	Io		DEL			G_Conj	i
1365_0100022.exb	che	cosa	CHA			G_Conj	i
1365_0100022.exb	volete	volete					c
1365_0100022.exb	come	come					c
1365_0100022.exb	regalo	regalo					c
1365_0100022.exb	che	che					c
1365_0100022.exb	vi	vi					c
1365_0100022.exb	facerá	farà	CHA			G_Inflect_Inexist	i
1365_0100022.exb	piacere	piacere					c
1365_0100022.exb	.	.					c
							
1385_0001714.exb	Caro	Caro					c
1385_0001714.exb	Daniele	Daniele					c
1385_0001714.exb	,	,					c
1385_0001714.exb	Come	come	CHA			O_Capit	i
1385_0001714.exb	stai	stai					c
1385_0001714.exb	?	?					c
							
1385_0001152.exb	E	E					c
1385_0001152.exb	voglio	voglio					c
1385_0001152.exb	sapere	sapere					c
1385_0001152.exb	quando	quando					c
