error_type	sentence	classification	generated senteces	gnerated sentences eval			
			Conosco bene l'informatica e la dattilografia e parlo e scrivo correttamente in tedesco e in italiano .	fully			
			Conosco bene l'informatica e la dattilografia e parlo e scrivo correttamente in tedesco e in italiano .	fully			
FP	Ciao Michele grazie per la tua ..... .	miscl. in multiged	Ciao Michele grazie per tua .	divergent			
			Ciao Michele grazie ......	divergent			
			Ciao Michele grazie per la tua .	divergent			
			Ciao Michele grazie .	divergent			
			Ciao Michele .	divergent			
FP	Tante grazie per le informazione .	wrong	Tante grazie per le informazioni .	fully			
			Tante grazie alle informazione .	divergent			
			Tante grazie alle informazioni .	divergent			
			Tante grazie per le informazioni .	divergent			
			Molte grazie per le informazioni .	divergent			
FP	Noi impariamo già alla scuola elementare due lingue stranieri .	wrong	Noi impariamo già alla scuola elementare due lingue straniere .	fully			
			Noi impariamo già a scuola elementare due lingue stranieri .	divergent			
			Noi already impariamo alla scuola elementare two foreign languages .	divergent			
			Noi impariamo già alla scuola elementare due lingue estranei .	divergent			
			Noi impariamo già alla scuola elementare due lingue straniere .	fully			
FP	So che potrebbe essere difficile trovare un posto per me , ma dopo il 29 agosto , comincerò studiare nei Paese Y .	plausible	So che potrebbe essere difficile trovare un posto per me, ma dopo il 29 agosto comincerò a studiare nel Paese Y.	divergent			
			So che potrebbe essere difficile trovare un posto per me, ma dopo il 29 agosto comincerò a studiare in Paese Y.	fully			
			So che potrebbe essere difficile trovare un posto per me, ma dopo il 29 agosto comincerò a studiare nello Y.	fully			
			So che potrebbe essere difficile trovare un posto per me, ma dopo il 29 agosto comincerò a studiare nel Y.	fully			
FP	Mi scriva , per favore , se è possibile prestissimo .	wrong	Mi scrivere, per favore, se è possibile prestissimo.	divergent			
			Mi scriva, per favore, se è possibile il più presto possibile.	divergent			
			Mi scriva, per favore, immediatamente se è possibile.	divergent			
			Mi scriva, per favore, al più presto.	divergent			
			Mi scriva, per favore, se possibile prestissimo.	fully			
FP	Sono stata operata al ginocchio tre settimane fa .	wrong	Sono stata operata al ginocchio tre settimane fa.	fully			
			Sono stata operata al ginocchio tre settimane fa	fully			
			Sono stata operata al ginocchio tre settimane fa.	fully			
			Sono stata operata al ginocchio tre settimane fa.	fully			
			Sono stata operata al ginocchio tre settimane fa.	fully			
FP	La sera ce chosa fate andate al cinema o a ballare .	wrong	La sera cosa fate andate al cinema o a ballare .	partially			
			La sera cosa fate andate al cinema o a ballare?	fully			
			La sera che cosa fate andate al cinema o a ballare.	partially			
			La sera ce cosa fate andate al cinema o a ballare.	partially			
			La sera ce ché cosa fate andate al cinema o a ballare.	divergent			
FP	Io viaggo IN TRENO , IO SONO ALLE 19 A CASA TUA .	miscl. in multiged	Io viaggio IN TRENO, io sono alle 19 a casa tua.	partially			
			Io viaggio IN Treno, io sono alle 19 a casa tua.	partially			
			Io viaggio in treno, io sono alle 19 a casa tua.	fully			
			Io viaggio in treno, iosono alle 19 a casa tua.	divergent			
			Io viaggio in treno, io sono alle 19 a casa tua.	fully			
FP	Quando bisogno la informazione ?	wrong	Quando necessito l'informazione ?	divergent			
			Quando ho bisogno dell'informazione ?	fully			
			Quando si ha bisogno della informazione ?	divergent			
			Quando c'è bisogno dell'informazione ?	fully			
			Quando ho bisogno dell'information ?	divergent			
FP	La mia familia sta bene : zio Michele è allegro e felice anche zia Maria sta bene , Io sono contenta del mio lavoro - ho molto da fare , ma mi piace molto In vacanza sono andata in montagnia - un mio amico ha ci una casa .	miscl. in multiged	La mia famiglia sta bene : zio Michele è allegro e felice . Anche zia Maria sta bene , io sono contenta del mio lavoro - ho molto da fare , ma mi piace molto . In vacanza sono andata in montagna - un mio amico ha una casa .	fully			
			La mia famiglia sta bene : zio Michele è allegro e felice . Anche zia Maria sta bene , io sono contenta del mio lavoro - ho molto da fare . Ma mi piace molto . In vacanza sono andata in montagnia - un mio amico ha ci una casa .	partially			
			La mia famiglia sta bene : zio Michele è allegro e felice . Anche zia Maria sta bene , io sono contenta del mio lavoro - ho molto da fare . Ma mi piace molto . In vacanza sono andata in montagne - un mio amico ha una casa .	divergent			
			La mia famiglia sta bene : zio Michele è allegro e felice . Anche zia Maria sta bene , io sono contenta del mio lavoro - ho molto da fare , ma mi piace molto . In vacanza sono andata in montagnia - un mio amico ha una casa .	partially			
			La mia famiglia sta bene : zio Michele è allegro e felice . Anche zia Maria sta bene , io sono contenta del mio lavoro - ho molto da fare , ma mi piace molto . In vacanza sono andata in montagne - un mio amico ha una casa .	divergent			
FP	Caro Daniele , Mi dispiace ma e una settimana orribile .	plausible	Caro Daniele, Mi dispiace ma è una settimana orribile.	fully			
			Caro Daniele, Mi dispiace, ma e' una settimana orribile.	divergent			
			Caro Daniele, Mi dispiace, ma è una settimana orribile.	fully			
			Caro Daniele, Mi dispiace, ma e una settimana orribile.	no modification			
			Caro Daniele, Mi dispiace, ma è una settimana orribile .	fully			
FP	Non ho un desiderio speciale sul denaro .	wrong	Non ho un desiderio speciale su denaro .	divergent			
			Non ho un desiderio sul denaro .	divergent			
			Non ho speciali desideri sul denaro .	divergent			
			Non ho un desiderio sul denaro .	divergent			
			Non ho un desiderio economico sul denaro .	divergent			
FP	Non ho pensato su una cosa meravigliosa come ques ' invito , quando ho aperto la lettera .	plausible	Non ho pensato a una cosa meravigliosa come l'invito , quando ho aperto la lettera .	partially			
			Non ho pensato su una cosa meravigliosa come un invito , quando ho aperto la lettera .	divergent			
			Non ho pensato su una cosa meravigliosa come l'invito , quando ho aperto la lettera .	divergent			
			Non ho pensato su una cosa meravigliosa come l'invito quando ho aperto la lettera .	divergent			
FP	Monstrero lo al capoufficio !	wrong	Monstrero lo al capoufficio!	no modification			
			Monstrero lo all'capoufficio!	divergent			
			Monstrero lo allo capoufficio!	divergent			
			Monstrero lo all'ufficio!	divergent			
			Monstrero lo all'ufficio!	divergent			
FP	Puoi mi dice che lavoro fai adesso ?	wrong	Puoi mi dire che lavoro fai adesso?	divergent			
			Puoi dirmi che lavoro fai adesso?	fully			
			Puoi mi dico che lavoro fai adesso?	divergent			
			Puoi mi dici qual lavoro fai adesso?	divergent			
			Puoi mi dici che lavoro fa adesso?	divergent			
FP	Abito un un albergo directamente in centro di Città X .	miscl. in multiged	Abito un albergo directamente in centro di Città X .	partially			
			Abito un albergo direttamente in centro di Città X .	divergent			
			Abito un albergo in centro diretto di Città X .	divergent			
			Abito un albergo in centro di Città X .	divergent			
			Abito un albergo in centro di Città X .	divergent			
FP	Mentre leggere la tua lettere ero penseto che questo problema è un grand problema nella nostra socetà !	miscl. in multiged	Mentre leggevo la tua lettere ero pensato che questo problema è un grande problema nella nostra società !	partially			
			Mentre leggere la tua lettere ero pensato che questo problema è un grande problema nella nostra società !	partially			
			Mentre leggerei la tua lettere ero pensato che questo problema è un grande problema nella nostra società !	divergent			
			Mentre leggere la tua lettere ero pensato che questo problema è un grandissimo problema nella nostra società !	divergent			
			Mentre leggere la tua lettere ero pensato che questo problema è un grande problema nella nostra società !	partially			
FP	Mi dispiace , ma il mio capo ha organizzato una riunione questo pomeriggio e devo participare .	miscl. in multiged	Mi dispiace, ma il mio capo ha organizzato una riunione questo pomeriggio e devo partecipare.	fully			
			Mi dispiace, ma il mio capo ha organizzato una riunione oggi pomeriggio e devo partecipare.	divergent			
			Mi dispiace, ma il mio capo ha organizzato una riunione quest'pomeriggio e devo partecipare.	divergent			
			Mi dispiace, ma il mio capo ha organizzato una riunione questo pomeriggio e non posso partecipare.	divergent			
			Mi dispiace, ma il mio capo ha organizzato una riunione oggi pomeriggio e non posso partecipare.	divergent			
FP	Il mio albergho à vicino alla Monumento X .	plausible	Il mio albergo è vicino al Monumento X .	fully			
			Il mio albergo à vicino al Monumento X .	fully			
			Il mio albergho è vicino a Monumento X .	partially			
			Il mio albergho à vicino a Monumento X .	divergent			
			Il mio albergo è vicino alla Monumento X .	fully			
FP	Poi scrivere una cartolina anche o puoi chiamiami a questo numero : 0345-11111111 !	wrong	Poi scrivere una cartolina anche oppure puoi chiamami a questo numero: 0345-11111111!	divergent			
			Poi scrivere una cartolina anche o puoi chiamami a questo numero: 0345-11111111!	divergent			
			Poi scrivere una cartolina anche oppure puoi chiamarmi a questo numero: 0345-11111111!	partially			
			Poi scrivere una cartolina anche o puoi chiamarmi a questo numero: 0345-11111111!	partially			
			Poi scrivere una cartolina anche oppure puoi chiamarmi a questo numero: 0345-11111111!	partially			
FP	Crispi 119 80127 Caserta Oggetto : La Sua lettera Caro Giorgio , in riferimento della Sua lettera Le scrivo .	wrong	Crispi 119 80127 Caserta Oggetto: La Sua lettera Caro Giorgio, in riferimento alla Sua lettera Le scrivo.	fully			
			Crispi 119 80127 Caserta Oggetto: La Sua lettera Caro Giorgio, in riferimento a Sua lettera Le scrivo.	divergent			
			Crispi 119 80127 Caserta Oggetto: La Sua lettera Caro Giorgio, in riferimento alla Sua Le scrivo.	divergent			
			Crispi 119 80127 Caserta Oggetto: La Sua lettera Caro Giorgio, in riferimento alla Sua lettera .	divergent			
			Crispi 119 80127 Caserta Oggetto: La Sua lettera Caro Giorgio, in riferimento a Sua lettera .	divergent			
