error_type	sentence	model prediction	generated sentences	generated sentences eval			count genereted senteces		count original
AGV	Another thing I would like to choose from the activity list is singing ( because I take part in a chorus at school ) and photography .	wrong	Another thing I would like to choose from the activity list is singing because I take part in a chorus at school and photography.	divergent					
			Another thing I would like to choose from the activity list is singing (because I take part in a chorus at school) and photography.	divergent					
			Another thing I would like to choose from the activity list is singing because I take part in a chorus at school or photography.	partially +					
			Another thing I would like to choose from the activity list is singing (because I take part in a chorus at school or photography).	divergent					
			Another thing I would like to choose from the activity list is singing and photography because I take part in a chorus at school.	partially +					
AGV	The area for parking , space for play grown to the children or bus station near the mall is not really appropiate .	wrong	The area for parking, space for play has grown to the children or bus station near the mall is not really appropriate.	divergent					
			The area for parking, space for play has grown to the children and a bus station near the mall is not really appropriate.	divergent					
			The area for parking, space for play has grown to children or there is a bus station near the mall and it is not really appropriate.	divergent					
			The area for parking, space for play has grown to children or there is a bus station near the mall which is not really appropriate.	divergent					
			The area for parking, space for play has grown to children or there is a bus station near the mall and this is not really appropriate.	partially +					
AGV	Also , I would like to join basketball team , I used to play basketball when I was in high school , and our high school basketball team have won many competitions during last ten years in our city .	wrong	Also I would like to join the basketball team I used to play basketball when I was in high school and our high school basketball team has won many competitions during the last ten years in our city	partially +					
AGV	Are there some possibility to rent the golfshoes ?	plausible	Are there some possibilities to rent the golf shoes?	partially +					
			Are there any possibility to rent the golf shoes?	divergent					
			Are there some possibility to rent the golf shoes?	partially +					
			Are there some possibilities to rent the golfshoes?	divergent					
			Is there any possibility to rent the golf shoes?	divergent					
AGV	In other hand you ask me I have the chance for to choose two activities while I am at the camp . but is no easy , because all is very interesting for me .	plausible	In other hand you ask me I have the chance for to choose two activities while I am at the camp. but is no easy, because all is very interesting for me.	partially +					
			In other hands you ask me I have the chance to choose two activities while I am at the camp. but is not easy, because all is very interesting for me.	divergent					
			In other hand you ask me I have the chance to choose two activities while I am at the camp. but it is no easy, because all is very interesting for me.	no modification					
			In other hand you ask me I have the chance to choose two activities while I am at the camp. but it is not easy, because all is very interesting for me.	divergent					
			In other hand you ask me I have the chance to choose two activities while I am at the camp. but this is no easy, because all is very interesting for me.	introducing error					
AGV	However , during my stay at Camp , there are two activities I can choose , one of them I will choose Basketball because it is the sport I play most , I and my friend used to win the first place in school - wide match when we was in school .	wrong	However, during my stay at Camp, there are two activities I can choose from. One of them I will choose Basketball because it is the sport I play most. I and my friend used to win the first place in school-wide matches when we were in school.	divergent					
			However, during my stay at Camp, there are two activities I can choose from. One of them I will choose basketball because it is the sport I play the most. I and my friend used to win the first place in school-wide matches when we were in school.	divergent					
			However, during my stay at Camp, there are two activities I can choose from. One of them I will choose Basketball because it is the sport I played most. I and my friend used to win the first place in school-wide matches when we were in school.	divergent					
			However, during my stay at Camp, there are two activities I can choose from. One of them I will choose Basketball because it is the sport I play most. I and my friend used to win the first place in school-wide matches when we was in school.	divergent					
AGN	About accommodation during these two weeks at the Camp I would prefer log cabins ; because maybe is more interesting to share with other people .	grammatical	About accommodation during these two weeks at the camp, I would prefer log cabins; because it is more interesting to share with other people.	divergent	63		132		27
			About accommodation during these two weeks at the camp, I would prefer log cabins; maybe is more interesting to share with other people.	divergent	2				
			About accommodation during these two weeks at the camp, I would prefer log cabins; because maybe is more interesting to share with other people.	partially +	27				
			About accommodation during these two weeks at the camp, I would prefer log cabins; because it is more interesting to share with others.	fully	31				
			About accommodation during these two weeks at the camp, I would prefer log cabins; because it may be more interesting to share with other people.	partially -	4				
			About accommodation during these two weeks at Camp, I would prefer log cabins; because maybe is more interesting to share with other people.	partially -	5				
AGN	Since the eletric fire and microwave oven had been invented , their life have been far easier than before .	wrong	Since the electric fire and microwave oven had been invented, their lives have been far easier than before.	partially +					
			Since electric fires and microwave ovens had been invented, their life has been far easier than before.	fully					
			Since electric fires and microwave ovens had been invented, their lives have been far easier than before.	no modification					
			Since the electric fire and microwave ovens had been invented, their life have been far easier than before.	divergent					
			Since the electric fire and microwave ovens had been invented, their lives have been far easier than before.	divergent					
AGN	In the letter you said that accommodation provided can be either tents or log cabins .	grammatical	In the letter, you said that accommodation provided can be either tents or log cabins.	divergent					
			In the letter you said that the accommodation provided can be either tents or log cabins.	divergent					
			In the letter you said that accommodations provided can be either tents or log cabins.	partially +					
			In the letter you said that the accommodations provided can be either tents or log cabins.	partially +					
			In the letter, you said that the accommodations provided can be either tents or log cabins.	partially +					
AGN	I hope you find my opinion useful .	grammatical	I hope you find my opinion useful.	partially +					
			I hope you find my opinions useful.	fully					
			I hope you find my opinion usefully.	introducing error					
			I hope you will find my opinion useful.	divergent					
			I hope you find my viewpoint useful.	divergent					
AGN	Moreover there was no discount ticket .	grammatical	Moreover there was no discount ticket.	fully					
			Moreover there were no discount tickets.	fully					
			There was no discount ticket.	divergent					
			No discount ticket was available.	divergent					
			There wasn't a discount ticket.	divergent					
AGN	I would prefer to stay in tents rather than in log cabins , because it would be a new experience for me and I would like to try something different .	grammatical	I would prefer to stay in tents rather than log cabins because it would be a new experience for me and I would like to try something different.	fully					
			I would prefer staying in tents rather than in log cabins because it would be a new experience for me and I would like to try something different.	divergent					
			I would prefer to stay in tents rather than log cabins, because it would be a new experience for me and I would like to try something different.	fully					
			I would prefer to stay in tents rather than in log cabins; because it would be a new experience for me and I would like to try something different.	introducing error					
			I would prefer staying in tents rather than log cabins because it would be a new experience for me and I would like to try something different.	divergent					
AGN	Why did you not change the name of your advertisement ?	grammatical	Why didn't you change the name of your advertisement?	partially +					
			Why did you fail to change the name of your advertisement?	divergent					
			Why didn't you alter the name of your advertisement?	divergent					
			Why didn't you modify the name of your advertisement?	divergent					
			Why didn't you update the name of your advertisement?	divergent					
AGN	I would prefer tents because I have never stay in tents before and I am wondering how it is going to be like And among these activities I am choosing basketball and swimming .	wrong	I would prefer tents because I have never stayed in tents before and I am wondering how it is going to be like. And among these activities, I am choosing basketball and swimming.	fully					
			I would prefer tents because I have never stayed in tents before and I am wondering how it will be like. And among these activities, I am choosing basketball and swimming.	divergent					
			I would prefer tents because I have never stayed in tents before and I wonder how it is going to be like. And among these activities, I choose basketball and swimming.	divergent					
			I would prefer tents because I have never stayed in tents before and I am wondering how it will be like. And among these activities, I am choosing basketball and swimming.	divergent					
			I would prefer staying in tents because I have never stayed in tents before and I am wondering how it is going to be like. And among these activities, I am choosing basketball and swimming.	divergent					
AGN	Our life will be managed by robots and they will replace us in our jobs .	grammatical	Our lives will be managed by robots and they will replace us in our jobs.	fully					
			Our life will be managed by robots and they will replace us with other robots.	divergent					
			Our lives will be managed by robots and they will replace us for our jobs.	divergent					
			Our lives will be managed by robots and they will take our jobs.	divergent					
			Our lives will be managed by robots and we will lose our jobs.	divergent					
AGN	About accommodation , I would prefer log cabins , because I have a problem in my back .	grammatical	About accommodation, I would prefer log cabins because I have a problem with my back.	partially +					
			About accommodations, I would prefer log cabins because I have a problem with my back.	partially +					
			I would prefer log cabins for accommodation because I have a problem with my back.	divergent					
			I would prefer log cabins regarding accommodation because I have a problem with my back.	divergent					
			About accommodation, I would prefer log cabins as I have a problem with my back.	divergent					
AGN	As state in your letter I have to choose the accommodation type . I would prefer to stay in tents because since I was a child I have being using this type of accommodation .	grammatical	As stated in your letter, I have to choose the accommodation type. I would prefer to stay in tents because since I was a child, I have been using this type of accommodation.	fully					
			As state in your letter I have to choose the accommodation type I would prefer to stay in tents because since I was a child I have being use this type of accommodation	introducing error					
			As stated in your letter I have to choose the accommodation type. I would prefer to stay in tents because since I was a child I have been using another type of accommodation	divergent					
			As stated in your letter I have to choose the accommodation type. I would prefer to stay in tents because since I was a child I have being use this type of accommodation	partially +					
			As stated in your letter I have to choose the accommodation type. I would prefer to stay in tents because since I was a child I have been using this type of accommodation	partially +					
AGN	For the accommodation I would like to have log cabins rather than tents because two weeks is quite a long time and I think they are more comfortable and give you more privacy .	grammatical	For the accommodation, I would like to have log cabins rather than tents because two weeks is quite a long time and I think they are more comfortable and give you more privacy.	fully					
			For the accommodation, I would prefer log cabins rather than tents because two weeks is quite a long time and I think they are more comfortable and give you more privacy.	divergent					
			The accommodation: I would like to have log cabins rather than tents because two weeks is quite a long time and I think they are more comfortable and give you more privacy.	divergent					
			For the accommodation, I prefer log cabins rather than tents because two weeks is quite a long time and I think they are more comfortable and give you more privacy.	divergent					
			For the accommodation, I would like to have log cabins instead of tents because two weeks is quite a long time and I think they are more comfortable and give you more privacy.	fully					
AGN	But everyone always noticed he had secrets from his face .	grammatical	But everyone always noticed that he had secrets from his face.	divergent					
			But everyone always noticed his secrets from his face.	divergent					
			But everyone always noticed him with secrets in his face.	divergent					
			But everyone always noticed something about him that revealed his secrets.	divergent					
			But everyone always noticed secrets in his face.	divergent					
AGN	Whenever he has secrets , his nose moves quickly .	grammatical	Whenever he has secrets, his nose moves quickly.	fully					
			Whenever he has a secret, his nose moves quickly.	fully					
			When he has secrets, his nose moves quickly.	divergent					
			Whenever he has secrets, his nose moves rapidly.	divergent					
			Whenever he keeps secrets, his nose moves quickly.	divergent					
AGN	For all these reason , I want to ask for my money back and I hope to hear from you soon !	wrong	For all these reasons, I want to ask for my money back and I hope to hear from you soon!	fully					
			For all these reasons, I want to ask for a refund and I hope to hear from you soon!	divergent					
			For all these reasons, I want to request a refund and I hope to hear from you soon!	divergent					
			For all these reasons, I want to ask for my money back and hopefully will hear from you soon!	divergent					
			For all these reasons, I want to ask for my money back and I hope to hear from you as soon as possible!	divergent					
AGN	Also , it was certain to me to bought a discount tickets cause I am a student .	wrong	Also, it was certain to me that I bought a discount ticket because I am a student.	partially +					
			Also, it was certain to me that I buy a discount ticket because I am a student.	partially +					
			Also, it was certain for me to have bought a discount ticket because I am a student.	partially +					
			Also, it was certain to me to have bought a discount tickets because I am a student.	divergent					
			Also, it was certain to me to buy a discount ticket because I am a student.	partially +					
AGN	I would prefer an accomodation in log cabins because I am not keen on tents and I think that a log cabin is more comfortable than a tent .	wrong	I would prefer accommodation in log cabins because I am not keen on tents and I think that a log cabin is more comfortable than a tent.	partially +					
			I would prefer an accommodation in log cabins because I am not keen on tents and I think that a log cabin is more comfortable than a tent.	fully					
			I would prefer an accommodation in log cabins because I am not keen on tents and I think log cabins are more comfortable than tents.	divergent					
			I would prefer an accommodation in log cabins because I am not keen on tents and I think that log cabins are more comfortable than tents.	divergent					
			I would prefer an accommodation in log cabins because I am not a fan of tents and I think log cabins are more comfortable than tents.	divergent					
AGN	With the accomodation , I would prefered tents becase it is more according with a camp .	grammatical	With the accommodation, I would prefer tents because it is more appropriate for a camp.	partially +					
			With the accommodation, I would prefer tents since it is more according with a camp.	divergent					
			With the accommodation, I would prefer tents as it is more according with a camp.	divergent					
			With the accommodation, I would preferred tents because it is more according with a camp.	partially -					
			With the accommodation, I would preferred tents because it is more appropriate for a camp.	partially +					
AGN	"But I could n't shut my mouth , I continued : """""""" You ca n't believe it Pat , she wears trousers like men and green flowery blouses """""""" Of course , my friend and I were laughing during half an hour ."	grammatical	"But I couldn't shut my mouth. I continued: ""You can't believe it, Pat. She wears trousers like men and green flowery blouses."" Of course, my friend and I were laughing for half an hour."	fully					
AGN	There were n't any discount available as you 'd assured in the add .	wrong	There weren't any discounts available as you'd assured in the ad.	partially +					
			There weren't any discounts available as you'd assured in the add.	fully					
			There were no discounts available as you'd assured in the ad.	divergent					
			There were no discounts available as you'd assured in the add.	divergent					
			There were no discounts available as you'd assured in the advertisement.	divergent					
AGN	Before the concert actually started I had to give out lots of leaflets , they are list of pop band and group which will appear in the concert in order , and some information about their performance and backgrounds .	wrong	Before the concert actually started, I had to give out lots of leaflets. They are lists of pop bands and groups which will appear at the concert in order, and some information about their performances and backgrounds.	fully					
			Before the concert actually started, I had to give out lots of leaflets. They are lists of pop band and group names which will appear at the concert in order, and some information about their performance and backgrounds.	partially +					
			Before the concert actually started, I had to give out lots of leaflets. They are lists of pop bands and groups which will appear in the concert in order, and some info about their performances and backgrounds.	fully					
			Before the concert actually started, I had to give out lots of leaflets. They are lists of pop band and group names which will appear at the concert in order, and some information about their performance and background.	divergent					
			Before the concert actually started, I had to give out lots of leaflets. They are lists of pop bands and groups which will perform at the concert in order, and some info about their performances and backgrounds.	divergent					
AGN	PEOPLE , WHO DON'T LIKE SHOPPING HAVE THEIR OWN REASONS OF THIS SITUATIONS ( MAYBE THEY HAD AN ACCIDENT WITH A RUDE SHOP - ASSISTANCE , BOUGHT NOT FRESH FOOD ONE DAY AND DO NOT WANT TO DO THAT ANY MORE , HAD BAD EXPERIENCE WITH OTHER PEOPLE IN SHOPS ) .	plausible	PEOPLE WHO DON'T LIKE SHOPPING HAVE THEIR OWN REASONS FOR THIS SITUATION (MAYBE THEY HAD AN ACCIDENT WITH A RUDE SHOP-ASSISTANCE, BOUGHT NOT FRESH FOOD ONE DAY AND DO NOT WANT TO DO THAT ANY MORE, HAD BAD EXPERIENCE WITH OTHER PEOPLE IN SHOPS).	partially +					
			PEOPLE WHO DON'T LIKE SHOPPING HAVE THEIR OWN REASONS FOR THIS SITUATION (MAYBE THEY HAD AN ACCIDENT WITH A RUDE SHOP ASSISTANCE, BOUGHT NOT FRESH FOOD ONE DAY AND DO NOT WANT TO DO THAT ANY MORE, HAD BAD EXPERIENCE WITH OTHER PEOPLE IN SHOPS).	partially +					
			PEOPLE WHO DON'T LIKE SHOPPING HAVE THEIR OWN REASONS FOR THIS SITUATION (MAYBE THEY HAD AN ACCIDENT WITH A RUDE SHOP-ASSISTANCE, BOUGHT NOT FRESH FOOD ONE DAY AND DO NOT WANT TO DO THAT ANY MORE, BAD EXPERIENCE WITH OTHER PEOPLE IN SHOPS).	partially +					
			PEOPLE WHO DON'T LIKE SHOPPING HAVE THEIR OWN REASONS FOR THIS SITUATION (MAYBE THEY HAD AN ACCIDENT WITH A RUDE SHOP ASSISTANCE, BOUGHT NOT FRESH FOOD ONE DAY AND DO NOT WANT TO DO THAT ANY MORE, BAD EXPERIENCE WITH OTHER PEOPLE IN SHOPS).	partially +					
			PEOPLE WHO DON'T LIKE SHOPPING HAVE THEIR OWN REASONS FOR THIS SITUATION (MAYBE THEY HAD AN ACCIDENT WITH A RUDE SHOP-ASSISTANCE, BOUGHT NOT FRESH FOOD AND DO NOT WANT TO DO THAT ANY MORE, BAD EXPERIENCE WITH OTHER PEOPLE IN SHOPS).	partially +					
AGN	WE THINK IS A GRATE OPORTUNITY , BECAUSE AS YOU KNOW , WE DON'T HAVE ACCES TO THAT KIND OF SHOWS IN THIS CITY .	idk	WE THINK IT IS A GREAT OPPORTUNITY, BECAUSE AS YOU KNOW, WE DON'T HAVE ACCESS TO THAT KIND OF SHOWS IN THIS CITY.	fully					
			WE THINK IT IS A GRATE OPPORTUNITY, BECAUSE AS YOU KNOW, WE DON'T HAVE ACCES TO THAT KIND OF SHOWS IN THIS CITY.	no modification					
			WE THINK IT IS A GREAT OPPORTUNITY, BECAUSE AS YOU KNOW, WE DON'T HAVE ACCES TO THAT KIND OF SHOWS IN THIS CITY.	partially +					
			WE THINK IT IS A GREAT OPPORTUNITY BECAUSE AS YOU KNOW WE DON'T HAVE ACCESS TO THAT KIND OF SHOWS IN THIS CITY	introducing error					
			WE THINK IS A GRATE OPPORTUNITY BECAUSE AS YOU KNOW WE DON'T HAVE ACCESS TO THAT KIND OF SHOWS IN THIS CITY	introducing error					
AGN	IN MY OPINION , PEOPLE WILL GIVE IMPORTANCE TO HOW THEIR PERSONALITY DEVELOP AND THEY WILL GIVE UP WORRYING ABOUT WHAT THEY WEAR .	plausible	IN MY OPINION, PEOPLE WILL GIVE IMPORTANCE TO HOW THEIR PERSONALITY DEVELOPS AND THEY WILL GIVE UP WORRYING ABOUT WHAT THEY WEAR.	fully					
			IN MY OPINION, PEOPLE WILL GIVE IMPORTANCE TO HOW THEIR PERSONALITY IS DEVELOPING AND THEY WILL GIVE UP WORRYING ABOUT WHAT THEY WEAR.	divergent					
			IN MY OPINION, PEOPLE WILL GIVE IMPORTANCE TO HOW THEIR PERSONALITY DEVELOPS AND THEY WILL GIVE UP WORRYING ABOUT THE CLOTHES THEY WEAR.	divergent					
			IN MY OPINION, PEOPLE WILL GIVE IMPORTANCE TO HOW THEIR PERSONALITY DEVELOPS AND THEY WILL STOP WORRYING ABOUT WHAT THEY WEAR.	fully					
			IN MY OPINION, PEOPLE WILL ATTACH IMPORTANCE TO HOW THEIR PERSONALITY DEVELOPS AND THEY WILL GIVE UP WORRYING ABOUT WHAT THEY WEAR.	divergent					
AGN	To spend the two weeks I would prefer to live in tents , that 's in my opinion a way to be nearer the enviroment and the animals , although I do n't mind living in log cabins .	wrong	To spend the two weeks, I would prefer to live in tents. That's in my opinion a way to be nearer to the environment and the animals. Although I don't mind living in log cabins.	fully					
			To spend the two weeks, I would prefer to live in tents. That's, in my opinion, a way to be nearer to the environment and the animals. Although I don't mind living in log cabins.	fully					
			To spend the two weeks I would prefer to live in tents. That's in my opinion a way to be nearer to the environment and the animals. Although I don't mind living in log cabins.	fully					
			To spend the two weeks, I would prefer to live in tents. That's in my opinion a way to be nearer to the environment and the animals although I don't mind living in log cabins.	fully					
			To spend the two weeks, I would prefer to live in tents that's in my opinion a way to be nearer to the environment and the animals although I don't mind living in log cabins.	partially +					
AGN	I would like to travel in July for two reason one 's is because I totaly will finish my exam in that date and the other in the first two week I will go to Farnborought is special 10 days the presentation the Air show and will be there the delegation from my country .	wrong	I would like to travel in July for two reasons. One is because I will totally finish my exam on that date, and the other is that in the first two weeks I will go to Farnborough-special 10 days of the Air Show, and there will be the delegation from my country.	partially +					
			I would like to travel in July for two reasons. One is because I will totally finish my exams on that date, and the other is that in the first two weeks I will go to Farnborough-is special 10 days of the Air show, and there will be the delegation from my country.	divergent					
			I would like to travel in July for two reasons. One's is because I will totally finish my exam on that date, and the other is that in the first two weeks I will go to Farnborough-is special 10 days of the Air show, and there will be the delegation from my country.	partially +					
			I would like to travel in July for two reasons. One is because I will totally finish my exams on that date, and the other in the first two week I will go to Farnborough-special 10 days the presentation the Air show and will be there the delegation from my country.	divergent					
			I would like to travel in July for two reasons. One's is because I will totally finish my exam on that date, and the other in the first two weeks I will go to Farnborough-is special 10 days of the Air show, and there will be the delegation from my country.	partially +					
AGN	The reasons I am really writing , However , is to give you some details of my trip to California .	plausible	The reasons I am really writing, however, is to give you some details of my trip to California.	partially -					
			The reasons for which I am really writing, however, is to give you some details of my trip to California.	divergent					
			The reasons I am really writing, however, are to give you some details of my trip to California.	partially +					
			The reasons why I am really writing, however, is to give you some details of my trip to California.	divergent					
			The reasons why I am really writing, however, are to give you some details of my trip to California.	divergent					
TV	Secondly , in the advertisement the discounts are available but in the tickets I bought they were no discount .	grammatical	Secondly, in the advertisement, the discounts are available, but in the tickets I bought, there was no discount.	fully	122		265		54
			Secondly, in the advertisement, the discounts are available, but in the tickets I bought, they had no discount.	divergent	9				
			Secondly, in the advertisement, the discounts are available, but in my purchased tickets, there were no discounts.	divergent	46				
			Secondly, in the advertisement, the discounts are available, but when I bought the tickets, there was no discount.	divergent	21				
			Secondly, in the advertisement, the discounts are available, but in the tickets I purchased, they had no discount.	divergent	47				
TV	I am glad I had taken a part in a few competitions , and I was so proud of our basketball team .	wrong	I am glad I had taken part in a few competitions and I was so proud of our basketball team.	partially -	20				
			I am glad I took part in a few competitions and I was so proud of our basketball team.	fully					
			I am glad I had taken part in a few competitions and I am so proud of our basketball team.	divergent					
			I am glad I had participated in a few competitions and I was so proud of our basketball team.	divergent					
			I am glad I had taken part in a few competitions and I was so proud of the basketball team.	divergent					
TV	So , that 's everything that I can tell you , I enjoy a lot and I hope to have another experience like this .	grammatical	So, that's everything I can tell you. I enjoy a lot and I hope to have another experience like this.	partially +					
			So, that's everything I can tell you. I enjoy it a lot and I hope to have another experience like this.	divergent					
			So, that's everything I can tell you. I enjoy it a lot and I hope to have such an experience again.	divergent					
			So, that's everything I can tell you. I enjoy it a lot and I hope to have another similar experience.	divergent					
			So, that's everything I can tell you. I enjoy it a lot and I hope to have another experience like this.	fully					
TV	I recently had a holiday in London and had been to your musical show ' Over the Rainbow ' but found it very disappointing .	wrong	I recently had a holiday in London and had been to your musical show 'Over the Rainbow' but found it very disappointing.	no modification					
			I recently had a holiday in London and have been to your musical show 'Over the Rainbow' but found it very disappointing.	divergent					
			I recently had a holiday in London and went to your musical show 'Over the Rainbow' but found it very disappointing.	fully					
			I recently had a holiday in London and attended your musical show 'Over the Rainbow' but found it very disappointing.	divergent					
			I recently had a holiday in London and saw your musical show 'Over the Rainbow' but found it very disappointing.	divergent					
TV	There was no discount at all which is in contrast with ' Discounts Availabe ' .	grammatical	"There was no discount at all, which is in contrast with ""Discounts Available""."	fully					
			There was no discount at all which is in contrast with Discounts Available	introducing error					
			There was no discount at all which is in contrast with Discounts Available.	partially +					
			There was no discount at all which is in contrast with discounts available.	partially +					
			There was no discount at all.	divergent					
TV	The Francis 's secret was discovered !	grammatical	The Francis's secret was discovered!	no modification					
			The Francis 's secret was found!	divergent					
			Francis's secret was discovered!	partially +					
			Francis's secret was found!	divergent					
			The Francis secret was discovered!	introducing error					
TV	There are a lot of reasons that could be awful to go shopping .	wrong	There are a lot of reasons that could be awful for going shopping.	divergent					
			There are lots of reasons that could be awful to go shopping.	divergent					
			There are many reasons that could be awful to go shopping.	divergent					
			There are a lot of reasons that could be awful when going shopping.	divergent					
			There are a lot of reasons that could be awful to do some shopping.	divergent					
TV	When I feel me comfortable for shopping everything will be closed or you haven't enough time to look around .	wrong	When I feel comfortable shopping, everything will be closed, or you don't have enough time to look around.	partially -					
			When I feel comfortable for shopping, everything will be closed or you do not have enough time to look around.	divergent					
			When I feel comfortable shopping, everything will be closed or you haven't enough time to look around.	partially -					
			When I feel comfortable for shopping, everything will be closed or you don't have enough time to look around.	divergent					
			When I feel comfortable shopping, everything will be closed, or you do not have sufficient time to look around.	divergent					
TV	I really wanted to learn how to swim .	grammatical	I really wanted to learn how to swim	introducing error					
TV	You ca n't imagine How much did I enjoy that journey .	wrong	You can't imagine how much I enjoyed that journey.	fully					
			You can't imagine how much did I enjoy that journey.	partially -					
			How much did I enjoy that journey?	divergent					
			You can't imagine how I enjoyed that journey.	divergent					
			You can't imagine that journey was enjoyable.	divergent					
TV	That evening which should be my perfect evening out , was in fact very tireing and boring .	wrong	That evening, which should have been my perfect evening out, was in fact very tiring and boring.	fully					
			That evening which should have been my perfect evening out was in fact very tiring and boring	introducing error					
			That evening, which should be my perfect evening out, was in fact very tiring and boring	partially -					
			That evening which is my perfect evening out, was in fact very tiring and boring	divergent					
			That evening which should have been my perfect evening out, was in fact very tiring and boring	partially +					
TV	I 'm a italian student who has come to the last International Arts Festival .	grammatical	I'm an Italian student who has come to the last International Arts Festival.	fully					
			I'm an Italian student who came to the last International Arts Festival.	fully					
			I'm an Italian student who has come to the last arts festival.	divergent					
			I'm a Italian student who has come to the last International Arts Festival.	no modification					
			I'm an Italian student who has come to last International Arts Festival.	divergent					
TV	We became passive people , we follow the same routine every day and we live in a society where rules are strongly fixed .	grammatical	We became passive people. We follow the same routine every day, and we live in a society where rules are strongly fixed.	fully					
			We became passive people. We follow the same routine every day, and we live in a society where rules are firmly established.	divergent					
			We become passive people. We follow the same routine every day, and we live in a society where rules are strongly fixed.	fully					
			We became passive individuals. We follow the same routine every day, and we live in a society where rules are strongly fixed.	divergent					
			We became passive people; we follow the same routine every day, and we live in a society where rules are strongly fixed.	fully					
TV	I 've seen your festival and I would like to give you my suggestions to it .	grammatical	I've seen your festival and I would like to give you my suggestions.	divergent					
			I've seen your festival and I would like to give you my suggestions about it.	fully					
TV	Moreover , I was shocked by the reason for which it was closed : the chef went away after he received a phone call !	grammatical	Moreover, I was shocked by the reason for which it was closed: The chef went away after he received a phone call!	introducing error					
			Moreover, I was shocked by the reason for which it was closed: After the chef received a phone call, he went away!	introducing error					
			Moreover, I was shocked by the reason for which it was closed: The chef left after receiving a phone call!	introducing error					
			Moreover, I was shocked by the reason for which it was closed: He received a phone call and then the chef went away!	introducing error					
			Moreover, I was shocked by the reason for which it was closed: The chef went away upon receiving a phone call!	introducing error					
TV	One day , I was falling in love with closest freind .	wrong	One day, I was falling in love with my closest friend.	partially -					
			One day, I fell in love with my closest friend.	fully					
			One day, I was falling in love with a close friend.	divergent					
			One day, I was falling in love with my best friend.	divergent					
			One day, I was falling in love with the closest friend.	divergent					
TV	When finally the show had started I found out that Danny Brook was replaced by another actor .	wrong	When finally the show had started, I found out that Danny Brook was replaced by another actor.	no modification					
			When the show had finally started, I found out that Danny Brook was replaced by another actor.	partially -					
			When the show had started, I found out that Danny Brook was replaced by another actor.	divergent					
			When the show had started, I discovered that Danny Brook was replaced by another actor.	divergent					
