filename	token	col1	col2	col3	col4	col5	col6	col7	col8	gold_label
2019_ABu_42_2.ann	aid	Articles	first aid							c
2019_ABu_42_2.ann	,									c
2019_ABu_42_2.ann	for									c
2019_ABu_42_2.ann	example									c
2019_ABu_42_2.ann	,									c
2019_ABu_42_2.ann	because									c
2019_ABu_42_2.ann	one	Ref_device	one country							c
2019_ABu_42_2.ann	can									i
2019_ABu_42_2.ann	not									c
2019_ABu_42_2.ann	fix									c
2019_ABu_42_2.ann	the									c
2019_ABu_42_2.ann	situation									c
2019_ABu_42_2.ann	itself									c
2019_ABu_42_2.ann	.									c

2019_ABu_42_2.ann	To									c
2019_ABu_42_2.ann	sum									c
2019_ABu_42_2.ann	up									c
2019_ABu_42_2.ann	,									c
2019_ABu_42_2.ann	I									c
2019_ABu_42_2.ann	would									c
2019_ABu_42_2.ann	like									c
2019_ABu_42_2.ann	to									c
2019_ABu_42_2.ann	say									c
2019_ABu_42_2.ann	that									c
2019_ABu_42_2.ann	,	Punctuation								c
2019_ABu_42_2.ann	in									c
2019_ABu_42_2.ann	general									c
2019_ABu_42_2.ann	,									c
2019_ABu_42_2.ann	governments									c
2019_ABu_42_2.ann	should									c
2019_ABu_42_2.ann	focus									c
2019_ABu_42_2.ann	on									c
2019_ABu_42_2.ann	their									c
2019_ABu_42_2.ann	countries									c
2019_ABu_42_2.ann	,									c
2019_ABu_42_2.ann	but									c
2019_ABu_42_2.ann	there									c
2019_ABu_42_2.ann	are									c
2019_ABu_42_2.ann	such									c
2019_ABu_42_2.ann	cases									c
2019_ABu_42_2.ann	when									c
2019_ABu_42_2.ann	it									c
2019_ABu_42_2.ann	very	Absence_comp_sent	is very necessary							i
2019_ABu_42_2.ann	necessary	Absence_comp_sent	is very necessary							c
2019_ABu_42_2.ann	to									c
2019_ABu_42_2.ann	pay	lex_part_choice	pay attention to							c
2019_ABu_42_2.ann	attention	lex_part_choice	pay attention to							i
2019_ABu_42_2.ann	on	lex_part_choice	pay attention to							i
2019_ABu_42_2.ann	other									c
2019_ABu_42_2.ann	nations									c
2019_ABu_42_2.ann	and									c
2019_ABu_42_2.ann	help									c
2019_ABu_42_2.ann	them									c
2019_ABu_42_2.ann	.									c

2019_ABu_193_1.ann	As									c
2019_ABu_193_1.ann	for									c
2019_ABu_193_1.ann	Australia									c
2019_ABu_193_1.ann	,									c
2019_ABu_193_1.ann	the									c
2019_ABu_193_1.ann	greatest									c
2019_ABu_193_1.ann	number									c
2019_ABu_193_1.ann	of									c
2019_ABu_193_1.ann	employees									c
2019_ABu_193_1.ann	of									c
2019_ABu_193_1.ann	both									c
2019_ABu_193_1.ann	genders									c
2019_ABu_193_1.ann	work									c
2019_ABu_193_1.ann	in									c
2019_ABu_193_1.ann	the									c
2019_ABu_193_1.ann	Services									c
2019_ABu_193_1.ann	sector									c
2019_ABu_193_1.ann	as									c
2019_ABu_193_1.ann	well									c
2019_ABu_193_1.ann	.									c

2019_ABu_53_1.ann	In									c
2019_ABu_53_1.ann	addition									c
2019_ABu_53_1.ann	,									c
2019_ABu_53_1.ann	in									c
2019_ABu_53_1.ann	2000									c
2019_ABu_53_1.ann	the									c
2019_ABu_53_1.ann	percentage									c
2019_ABu_53_1.ann	was									c
2019_ABu_53_1.ann	slightly									c
2019_ABu_53_1.ann	lower	Punctuation	lower:							i
2019_ABu_53_1.ann	20	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					c
2019_ABu_53_1.ann	%	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					i
2019_ABu_53_1.ann	and	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					i
2019_ABu_53_1.ann	21	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					i
2019_ABu_53_1.ann	%	Absence_explanation	20% and 21% for girls and boys respectively	Punctuation	— 20% and 21% for girls and boys respectively					i
2019_ABu_53_1.ann	.									c

2019_ABu_82_2.ann	Our									c
2019_ABu_82_2.ann	world									c
2019_ABu_82_2.ann	is									c
2019_ABu_82_2.ann	developing									c
2019_ABu_82_2.ann	,									c
2019_ABu_82_2.ann	the									c
2019_ABu_82_2.ann	cities									c
2019_ABu_82_2.ann	are									c
2019_ABu_82_2.ann	extending	lex_item_choice	expanding							i
2019_ABu_82_2.ann	,									c
2019_ABu_82_2.ann	people									c
2019_ABu_82_2.ann	are									c
2019_ABu_82_2.ann	constructing									c
2019_ABu_82_2.ann	more									c
2019_ABu_82_2.ann	and									c
2019_ABu_82_2.ann	more									c
2019_ABu_82_2.ann	new									c
2019_ABu_82_2.ann	buildings									c
2019_ABu_82_2.ann	because									c
2019_ABu_82_2.ann	it									c
2019_ABu_82_2.ann	's									c
2019_ABu_82_2.ann	really									c
2019_ABu_82_2.ann	important									c
2019_ABu_82_2.ann	now									c
2019_ABu_82_2.ann	,									c
2019_ABu_82_2.ann	our									c
2019_ABu_82_2.ann	population									c
2019_ABu_82_2.ann	is									c
2019_ABu_82_2.ann	rising									c
2019_ABu_82_2.ann	every									c
2019_ABu_82_2.ann	year									c
2019_ABu_82_2.ann	and	Punctuation	, and							i
2019_ABu_82_2.ann	because									c
2019_ABu_82_2.ann	of									c
2019_ABu_82_2.ann	this									c
2019_ABu_82_2.ann	people									c
2019_ABu_82_2.ann	need									c
2019_ABu_82_2.ann	more									c
2019_ABu_82_2.ann	places									c
2019_ABu_82_2.ann	to									c
2019_ABu_82_2.ann	live									c
2019_ABu_82_2.ann	,									c
2019_ABu_82_2.ann	work									c
2019_ABu_82_2.ann	,									c
2019_ABu_82_2.ann	learn									c
2019_ABu_82_2.ann	and									c
2019_ABu_82_2.ann	relax									c
2019_ABu_82_2.ann	.									c

2019_ABu_162_2.ann	I									c
2019_ABu_162_2.ann	am									c
2019_ABu_162_2.ann	convinced									c
2019_ABu_162_2.ann	that									c
2019_ABu_162_2.ann	having									c
2019_ABu_162_2.ann	a									c
2019_ABu_162_2.ann	lot									c
2019_ABu_162_2.ann	of									c
2019_ABu_162_2.ann	free									c
2019_ABu_162_2.ann	time									c
2019_ABu_162_2.ann	is									c
2019_ABu_162_2.ann	more									c
2019_ABu_162_2.ann	important									c
2019_ABu_162_2.ann	than									c
2019_ABu_162_2.ann	money									c
2019_ABu_162_2.ann	because									c
2019_ABu_162_2.ann	having									c
2019_ABu_162_2.ann	great									c
2019_ABu_162_2.ann	and									c
2019_ABu_162_2.ann	loving									c
2019_ABu_162_2.ann	relationships									c
2019_ABu_162_2.ann	with									c
2019_ABu_162_2.ann	your									c
2019_ABu_162_2.ann	relatives									c
2019_ABu_162_2.ann	and									c
2019_ABu_162_2.ann	friends									c
2019_ABu_162_2.ann	is									c
2019_ABu_162_2.ann	priseless	Spelling	priceless							i
2019_ABu_162_2.ann	.									c

2019_ABu_54_1.ann	Started	Voice	Starting							i
2019_ABu_54_1.ann	from	Capitalisation	From 2000 to 2005,	Punctuation	From 2000 to 2005,					c
2019_ABu_54_1.ann	2000	Capitalisation	From 2000 to 2005,	Punctuation	From 2000 to 2005,					i
2019_ABu_54_1.ann	to	Capitalisation	From 2000 to 2005,	Punctuation	From 2000 to 2005,					c
2019_ABu_54_1.ann	2005	Capitalisation	From 2000 to 2005,	Punctuation	From 2000 to 2005,					c
2019_ABu_54_1.ann	the									i
2019_ABu_54_1.ann	numbers	Noun_number	number							i
2019_ABu_54_1.ann	of									c
2019_ABu_54_1.ann	people									c
2019_ABu_54_1.ann	with									c
2019_ABu_54_1.ann	overweight	lex_item_choice	excess weight							i
2019_ABu_54_1.ann	problems	lex_item_choice	excess weight							i
2019_ABu_54_1.ann	signhificantly	Spelling	significantly							i
2019_ABu_54_1.ann	raised	lex_item_choice	rised							c
2019_ABu_54_1.ann	in	Redundant_comp								c
2019_ABu_54_1.ann	that	Redundant_comp								c
2019_ABu_54_1.ann	case	Redundant_comp								c
2019_ABu_54_1.ann	.									c

2019_ABu_195_2.ann	Unfortunately									c
2019_ABu_195_2.ann	,									c
2019_ABu_195_2.ann	it									c
2019_ABu_195_2.ann	requires									c
2019_ABu_195_2.ann	a									c
2019_ABu_195_2.ann	lot									c
2019_ABu_195_2.ann	of									c
2019_ABu_195_2.ann	time									c
2019_ABu_195_2.ann	to									c
2019_ABu_195_2.ann	achieve									c
2019_ABu_195_2.ann	success									c
2019_ABu_195_2.ann	in									c
2019_ABu_195_2.ann	a									c
2019_ABu_195_2.ann	carrer	Spelling	career							i
2019_ABu_195_2.ann	and									c
2019_ABu_195_2.ann	to									c
2019_ABu_195_2.ann	get									c
2019_ABu_195_2.ann	a									c
2019_ABu_195_2.ann	pleasure									c
2019_ABu_195_2.ann	in									c
2019_ABu_195_2.ann	one									c
2019_ABu_195_2.ann	's									c
2019_ABu_195_2.ann	free									c
2019_ABu_195_2.ann	time									c
2019_ABu_195_2.ann	,									c
2019_ABu_195_2.ann	in									c
2019_ABu_195_2.ann	other									c
2019_ABu_195_2.ann	words									c
2019_ABu_195_2.ann	,									c
2019_ABu_195_2.ann	to									c
2019_ABu_195_2.ann	relax									c
2019_ABu_195_2.ann	from									c
2019_ABu_195_2.ann	everyone									c
2019_ABu_195_2.ann	.									c

2019_ABu_195_2.ann	It									c
2019_ABu_195_2.ann	sounds									c
2019_ABu_195_2.ann	weird	Punctuation	weird,							i
2019_ABu_195_2.ann	but									c
2019_ABu_195_2.ann	i	Capitalisation	I							i
2019_ABu_195_2.ann	am									c
2019_ABu_195_2.ann	sure									c
2019_ABu_195_2.ann	that									c
2019_ABu_195_2.ann	such									c
2019_ABu_195_2.ann	people									c
2019_ABu_195_2.ann	's									c
2019_ABu_195_2.ann	labour									c
2019_ABu_195_2.ann	does									c
2019_ABu_195_2.ann	not									c
2019_ABu_195_2.ann	depend									c
2019_ABu_195_2.ann	on									c
2019_ABu_195_2.ann	their									c
2019_ABu_195_2.ann	salaries									c
2019_ABu_195_2.ann	as									c
2019_ABu_195_2.ann	their									c
2019_ABu_195_2.ann	primary									c
2019_ABu_195_2.ann	principle									c
2019_ABu_195_2.ann	is									c
2019_ABu_195_2.ann	to									c
2019_ABu_195_2.ann	continue									c
2019_ABu_195_2.ann	to									c
2019_ABu_195_2.ann	make									c
2019_ABu_195_2.ann	the									c
2019_ABu_195_2.ann	world									c
2019_ABu_195_2.ann	better									c
2019_ABu_195_2.ann	.									c

2019_ABu_223_2.ann	They									c
2019_ABu_223_2.ann	lern	Spelling	teach	lex_item_choice	teach					i
2019_ABu_223_2.ann	him	Inappropriate_register	him or her							c
2019_ABu_223_2.ann	how									c
2019_ABu_223_2.ann	to									c
2019_ABu_223_2.ann	talk									c
2019_ABu_223_2.ann	,									c
2019_ABu_223_2.ann	to									c
2019_ABu_223_2.ann	eat									c
2019_ABu_223_2.ann	and									c
2019_ABu_223_2.ann	walk	Lack_par_constr	to walk							i
2019_ABu_223_2.ann	.									c

2019_ABu_223_2.ann	There									c
2019_ABu_223_2.ann	child	Articles	a child							i
2019_ABu_223_2.ann	firsty	Spelling	firstly	lex_item_choice	for the first time	Word_order	faces real life, first love, and other different things for the first time			c
2019_ABu_223_2.ann	fased	Word_order	faces real life, first love, and other different things for the first time	Spelling	faces					i
2019_ABu_223_2.ann	real	Word_order	faces real life, first love, and other different things for the first time							i
2019_ABu_223_2.ann	life	Word_order	faces real life, first love, and other different things for the first time							i
2019_ABu_223_2.ann	,	Word_order	faces real life, first love, and other different things for the first time							i
2019_ABu_223_2.ann	first	Word_order	faces real life, first love, and other different things for the first time							i
2019_ABu_223_2.ann	love	Word_order	faces real life, first love, and other different things for the first time	Punctuation	love,					i
2019_ABu_223_2.ann	and	Word_order	faces real life, first love, and other different things for the first time							i
2019_ABu_223_2.ann	other	Word_order	faces real life, first love, and other different things for the first time							i
2019_ABu_223_2.ann	different	Word_order	faces real life, first love, and other different things for the first time							i
2019_ABu_223_2.ann	things	Word_order	faces real life, first love, and other different things for the first time							i
2019_ABu_223_2.ann	.									c

2019_ABu_223_2.ann	Because									c
2019_ABu_223_2.ann	they									c
2019_ABu_223_2.ann	teachs	Spelling	teach	Agreement_errors	teach					i
2019_ABu_223_2.ann	the	Articles	a child							c
2019_ABu_223_2.ann	cild	Articles	a child	Spelling	child					i
2019_ABu_223_2.ann	from	Prepositions	in							c
2019_ABu_223_2.ann	different									c
2019_ABu_223_2.ann	sides	lex_item_choice	ways							i
2019_ABu_223_2.ann	.									c

2019_ABu_169_2.ann	Although	lex_item_choice	However							i
2019_ABu_169_2.ann	,									c
2019_ABu_169_2.ann	there									c
2019_ABu_169_2.ann	is									c
2019_ABu_169_2.ann	one									c
2019_ABu_169_2.ann	less									c
2019_ABu_169_2.ann	positive									c
2019_ABu_169_2.ann	reason									c
2019_ABu_169_2.ann	for									c
2019_ABu_169_2.ann	people									c
2019_ABu_169_2.ann	to									c
2019_ABu_169_2.ann	spend									c
2019_ABu_169_2.ann	more									c
2019_ABu_169_2.ann	time									c
2019_ABu_169_2.ann	in									c
2019_ABu_169_2.ann	their									c
2019_ABu_169_2.ann	office									c
2019_ABu_169_2.ann	.									c

2019_ABu_60_1.ann	The									c
2019_ABu_60_1.ann	table									c
2019_ABu_60_1.ann	,									c
2019_ABu_60_1.ann	likewise									c
2019_ABu_60_1.ann	,									c
2019_ABu_60_1.ann	illustrates									c
2019_ABu_60_1.ann	the									c
2019_ABu_60_1.ann	same									c
2019_ABu_60_1.ann	situation									c
2019_ABu_60_1.ann	of									c
2019_ABu_60_1.ann	increasing	Category_confusion	increase							i
2019_ABu_60_1.ann	.									c

2019_EEr_157_1.ann	The	Word_order	China has the absolute maximum percentage of energy							i
2019_EEr_157_1.ann	absolute	Word_order	China has the absolute maximum percentage of energy							i
2019_EEr_157_1.ann	maximume	Spelling	maximum	Word_order	China has the absolute maximum percentage of energy					i
2019_EEr_157_1.ann	in	Word_order	China has the absolute maximum percentage of energy							i
2019_EEr_157_1.ann	the	Word_order	China has the absolute maximum percentage of energy							i
2019_EEr_157_1.ann	energy	Word_order	China has the absolute maximum percentage of energy							i
2019_EEr_157_1.ann	percentage	Word_order	China has the absolute maximum percentage of energy							i
2019_EEr_157_1.ann	has	Word_order	China has the absolute maximum percentage of energy							i
2019_EEr_157_1.ann	China	Word_order	China has the absolute maximum percentage of energy							c
2019_EEr_157_1.ann	that	lex_item_choice	and							i
2019_EEr_157_1.ann	increased									c
2019_EEr_157_1.ann	the									c
2019_EEr_157_1.ann	amount									c
2019_EEr_157_1.ann	of									c
2019_EEr_157_1.ann	fuels									c
2019_EEr_157_1.ann	from									c
2019_EEr_157_1.ann	60									c
2019_EEr_157_1.ann	%									c
2019_EEr_157_1.ann	to									c
2019_EEr_157_1.ann	approximately									c
2019_EEr_157_1.ann	87									c
2019_EEr_157_1.ann	%									c
2019_EEr_157_1.ann	over									c
2019_EEr_157_1.ann	45									c
2019_EEr_157_1.ann	years									c
2019_EEr_157_1.ann	.									c

2019_ABu_154_1.ann	However									c
2019_ABu_154_1.ann	,									c
2019_ABu_154_1.ann	in									c
2019_ABu_154_1.ann	Australia									c
2019_ABu_154_1.ann	the									c
2019_ABu_154_1.ann	number									c
2019_ABu_154_1.ann	of									c
2019_ABu_154_1.ann	women									c
2019_ABu_154_1.ann	outweigh	Tense_choice	outweighed							i
2019_ABu_154_1.ann	that									c
2019_ABu_154_1.ann	of									c
2019_ABu_154_1.ann	men									c
2019_ABu_154_1.ann	by									c
2019_ABu_154_1.ann	23									c
2019_ABu_154_1.ann	%									c
2019_ABu_154_1.ann	and									c
2019_ABu_154_1.ann	reaches	Tense_choice	reached							i
2019_ABu_154_1.ann	88									c
2019_ABu_154_1.ann	%									c
2019_ABu_154_1.ann	,									c
2019_ABu_154_1.ann	while									c
2019_ABu_154_1.ann	in									c
2019_ABu_154_1.ann	Indonesia									c
2019_ABu_154_1.ann	male	Noun_number	males							i
2019_ABu_154_1.ann	constitute	Tense_choice	constituted							c
2019_ABu_154_1.ann	7									c
2019_ABu_154_1.ann	%									c
2019_ABu_154_1.ann	more									c
2019_ABu_154_1.ann	than									c
2019_ABu_154_1.ann	female	Noun_number	females							i
2019_ABu_154_1.ann	and									c
2019_ABu_154_1.ann	make	Tense_choice	made up							i
2019_ABu_154_1.ann	up	Tense_choice	made up							c
2019_ABu_154_1.ann	56									c
2019_ABu_154_1.ann	%									c
2019_ABu_154_1.ann	of									c
2019_ABu_154_1.ann	the									c
2019_ABu_154_1.ann	services	Noun_number	service							i
2019_ABu_154_1.ann	sector									c
2019_ABu_154_1.ann	.									c

2019_EEr_145_2.ann	The									c
2019_EEr_145_2.ann	most									c
2019_EEr_145_2.ann	utopian									c
2019_EEr_145_2.ann	and									c
2019_EEr_145_2.ann	gigantic									c
2019_EEr_145_2.ann	of									c
2019_EEr_145_2.ann	them									c
2019_EEr_145_2.ann	was									c
2019_EEr_145_2.ann	the									c
2019_EEr_145_2.ann	Palace									c
2019_EEr_145_2.ann	of									c
2019_EEr_145_2.ann	the									c
2019_EEr_145_2.ann	Soviets									c
2019_EEr_145_2.ann	.									c

2019_ABu_90_2.ann	It									c
2019_ABu_90_2.ann	is									c
2019_ABu_90_2.ann	claimed									c
2019_ABu_90_2.ann	that									c
2019_ABu_90_2.ann	the									c
2019_ABu_90_2.ann	beauty									c
2019_ABu_90_2.ann	of									c
2019_ABu_90_2.ann	the	Articles	a building							i
2019_ABu_90_2.ann	building	Articles	a building							c
2019_ABu_90_2.ann	is									c
2019_ABu_90_2.ann	not									c
2019_ABu_90_2.ann	as									c
2019_ABu_90_2.ann	important									c
2019_ABu_90_2.ann	as									c
2019_ABu_90_2.ann	its									c
2019_ABu_90_2.ann	purpose									c
2019_ABu_90_2.ann	and									c
2019_ABu_90_2.ann	there									c
2019_ABu_90_2.ann	is									c
2019_ABu_90_2.ann	no									c
2019_ABu_90_2.ann	need									c
2019_ABu_90_2.ann	for									c
2019_ABu_90_2.ann	architects									c
2019_ABu_90_2.ann	to									c
2019_ABu_90_2.ann	worry									c
2019_ABu_90_2.ann	about									c
2019_ABu_90_2.ann	the									c
2019_ABu_90_2.ann	physical	lex_item_choice	design							i
2019_ABu_90_2.ann	appearance	lex_item_choice	design							i
2019_ABu_90_2.ann	of									c
2019_ABu_90_2.ann	theirs	Pronouns	their							i
2019_ABu_90_2.ann	work									c
2019_ABu_90_2.ann	.									c

2019_ABu_90_2.ann	Nevertheless									c
2019_ABu_90_2.ann	,									c
2019_ABu_90_2.ann	some									c
2019_ABu_90_2.ann	people	Absence_comp_sent	people still claim							c
2019_ABu_90_2.ann	still	Absence_comp_sent	people still claim							c
2019_ABu_90_2.ann	that									i
2019_ABu_90_2.ann	the									c
2019_ABu_90_2.ann	estethic	Spelling	aesthetic							i
2019_ABu_90_2.ann	view									c
2019_ABu_90_2.ann	is									c
2019_ABu_90_2.ann	important									c
2019_ABu_90_2.ann	.									c

2019_EEr_277_2.ann	I									c
2019_EEr_277_2.ann	believe									c
2019_EEr_277_2.ann	that									c
2019_EEr_277_2.ann	children									c
2019_EEr_277_2.ann	should									c
2019_EEr_277_2.ann	learn	Word_order	not only learn							i
2019_EEr_277_2.ann	not	Word_order	not only learn							c
2019_EEr_277_2.ann	only	Word_order	not only learn							c
2019_EEr_277_2.ann	from									i
2019_EEr_277_2.ann	their									c
2019_EEr_277_2.ann	parents									c
2019_EEr_277_2.ann	,									c
2019_EEr_277_2.ann	but									c
2019_EEr_277_2.ann	they									c
2019_EEr_277_2.ann	can									c
2019_EEr_277_2.ann	surely									c
2019_EEr_277_2.ann	trust									c
2019_EEr_277_2.ann	them									c
2019_EEr_277_2.ann	more	Comparative_constr	more							c
2019_EEr_277_2.ann	,	Comparative_constr	more							i
2019_EEr_277_2.ann	than									c
2019_EEr_277_2.ann	an									c
2019_EEr_277_2.ann	unknown									c
2019_EEr_277_2.ann	person									c
2019_EEr_277_2.ann	.									c

2019_EEr_136_2.ann	This									c
2019_EEr_136_2.ann	project									c
2019_EEr_136_2.ann	is									c
2019_EEr_136_2.ann	nice									c
2019_EEr_136_2.ann	and									c
2019_EEr_136_2.ann	functional									c
2019_EEr_136_2.ann	.									c

2019_EEr_136_2.ann	There									c
2019_EEr_136_2.ann	are									c
2019_EEr_136_2.ann	many									c
2019_EEr_136_2.ann	offices									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	flats									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	shops									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	restaurants									c
2019_EEr_136_2.ann	and									c
2019_EEr_136_2.ann	may									c
2019_EEr_136_2.ann	be									c
2019_EEr_136_2.ann	something									c
2019_EEr_136_2.ann	else									c
2019_EEr_136_2.ann	in									c
2019_EEr_136_2.ann	it									c
2019_EEr_136_2.ann	.									c

2019_EEr_136_2.ann	Classic									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	gothic									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	modernd	Spelling	modern							i
2019_EEr_136_2.ann	and									c
2019_EEr_136_2.ann	many									c
2019_EEr_136_2.ann	others									c
2019_EEr_136_2.ann	.									c

2019_EEr_136_2.ann	On									c
2019_EEr_136_2.ann	the									c
2019_EEr_136_2.ann	other									c
2019_EEr_136_2.ann	hand									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	there									c
2019_EEr_136_2.ann	are									c
2019_EEr_136_2.ann	peole	Spelling	people							i
2019_EEr_136_2.ann	who									c
2019_EEr_136_2.ann	are									c
2019_EEr_136_2.ann	against									c
2019_EEr_136_2.ann	this									c
2019_EEr_136_2.ann	idea									c
2019_EEr_136_2.ann	.									c

2019_EEr_136_2.ann	Thus									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	of									c
2019_EEr_136_2.ann	corse	Spelling	course							i
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	first									c
2019_EEr_136_2.ann	of									c
2019_EEr_136_2.ann	all									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	buildings									c
2019_EEr_136_2.ann	are									c
2019_EEr_136_2.ann	for									c
2019_EEr_136_2.ann	living									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	working									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	eating									c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	meeting									c
2019_EEr_136_2.ann	and									c
2019_EEr_136_2.ann	communicating									c
2019_EEr_136_2.ann	and									c
2019_EEr_136_2.ann	many									c
2019_EEr_136_2.ann	other									c
2019_EEr_136_2.ann	different									c
2019_EEr_136_2.ann	activities									c
2019_EEr_136_2.ann	.									c

2019_EEr_136_2.ann	We									c
2019_EEr_136_2.ann	can									c
2019_EEr_136_2.ann	not									c
2019_EEr_136_2.ann	forger									c
2019_EEr_136_2.ann	about									c
2019_EEr_136_2.ann	our									c
2019_EEr_136_2.ann	world	Punctuation	world history							c
2019_EEr_136_2.ann	-	Punctuation	world history							i
2019_EEr_136_2.ann	history	Punctuation	world history							c
2019_EEr_136_2.ann	,									c
2019_EEr_136_2.ann	about									c
2019_EEr_136_2.ann	own	lex_part_choice	our own							i
2019_EEr_136_2.ann	histories	Noun_number	history							c
2019_EEr_136_2.ann	and									c
2019_EEr_136_2.ann	culterals	Spelling	culture							i
2019_EEr_136_2.ann	.									c

2019_EEr_276_2.ann	Teachers									c
2019_EEr_276_2.ann	,									c
2019_EEr_276_2.ann	friends									c
2019_EEr_276_2.ann	,									c
2019_EEr_276_2.ann	classmates									c
2019_EEr_276_2.ann	,									c
2019_EEr_276_2.ann	they									c
2019_EEr_276_2.ann	all									c
2019_EEr_276_2.ann	have									c
2019_EEr_276_2.ann	a									c
2019_EEr_276_2.ann	bigger									c
2019_EEr_276_2.ann	influence									c
2019_EEr_276_2.ann	than									c
2019_EEr_276_2.ann	the									c
2019_EEr_276_2.ann	family									c
2019_EEr_276_2.ann	.									c

2019_ABu_156_2.ann	Futhermore	Spelling	Furthermore							i
2019_ABu_156_2.ann	,									c
2019_ABu_156_2.ann	a									c
2019_ABu_156_2.ann	person									c
2019_ABu_156_2.ann	can									c
2019_ABu_156_2.ann	be									c
2019_ABu_156_2.ann	a									c
2019_ABu_156_2.ann	workoholic	Spelling	workaholic							i
2019_ABu_156_2.ann	and									c
2019_ABu_156_2.ann	it									c
2019_ABu_156_2.ann	is									c
2019_ABu_156_2.ann	a									c
2019_ABu_156_2.ann	good									c
2019_ABu_156_2.ann	way									c
2019_ABu_156_2.ann	to									c
2019_ABu_156_2.ann	express									c
2019_ABu_156_2.ann	himself	Inappropriate_register	himself or herself							c
2019_ABu_156_2.ann	through									i
2019_ABu_156_2.ann	his	Inappropriate_register	his or her							c
